key,title,year,authors,RAYYAN-LABELS,status,population,exposure,control,outcome,Search,study location,system,remarks
rayyan-811287075,Mismatch Between Risk and Response May Amplify Lethal and Non-lethal Effects of Humans on Wild Animal Populations,2021,"Smith, JA and Gaynor, KM and Suraci, JP",review,Included,,,,,,,,
rayyan-811287086,Landscape of fear and human-predator coexistence: Applying spatial predator-prey interaction theory to understand and reduce carnivore-livestock conflict,2019,"Miller, JRB and Schmitz, OJ","Applied, concept",Included,,,,,,,,
rayyan-811287095,Ecology and Neurobiology of Fear in Free-Living Wildlife,2020,"Zanette, LY and Clinchy, M",review,Included,,,,,,,,
rayyan-811287097,Pumas' fear of humans precipitates changes in plant architecture,2021,"Yovovich, V and Thomsen, M and Wilmers, CC",data,Included,"puma, deer",human development gradient,-,"foraging behaviour, space use, diet preference",,,,
rayyan-811287100,"Habitat use under predation risk: hunting, roads and human dwellings influence the spatial behaviour of roe deer",2013,"Bonnot, N and Morellet, N and Verheyden, H and Cargnelutti, B and Lourtet, B and Klein, F and Hewison, AJM",data,Included,roe deer,"hunting disturbance, development gradient",-,"diel activity patterns, space use",,,,
rayyan-811287102,Behavioral Correlations Associated with Fear of Humans Differ between Rural and Urban Burrowing Owls,2017,"Carrete, M and Tella, JL",data,Included,burrowing owls,urban habitat,rural habitat,"foraging behavior, antipredatory response",,,,
rayyan-811287106,Fear and stressing in predator prey ecology: considering the twin stressors of predators and people on mammals,2020,"Fardell, LL and Pavey, CR and Dickman, CR","Applied, concept",Included,,,,,,,,
rayyan-811287108,"""Ecology of fear"" in ungulates: Opportunities for improving conservation",2022,"Chitwood, MC and Baruzzi, C and Lashley, MA",review,Included,,,,,,,,
rayyan-811287112,Human activities change marine ecosystems by altering predation risk,2016,"Madin, EMP and Dill, LM and Ridlon, AD and Heithaus, MR and Warner, RR",review,Included,,,,,,,,
rayyan-811287114,"Fear, human shields and the redistribution of prey and predators in protected areas",2007,"Berger, J",data,Included,"moose, brown bears",development gradient,-,"birth sites, space use",,Yellowstone national park,,
rayyan-811287116,Secrets of Success in a Landscape of Fear: Urban Wild Boar Adjust Risk Perception and Tolerate Disturbance,2017,"Stillfried, M and Gras, P and Borner, K and Goritz, F and Painer, J and Rollig, K and Wenzler, M and Hofer, H and Ortmann, S and Kramer-Schadt, S",data,Included,wild boar,urban habitat,rural habitat,"habitat selection, flight distance",,,,
rayyan-811287121,Fear of the dark? Contrasting impacts of humans versus lynx on diel activity of roe deer across EuropeMots-cles,2020,"Bonnot, N and Couriot, O and Berger, A and Cagnacci, F and Ciuti, S and De Groeve, J and Gehr, B and Heurich, M and Kjellander, P and Kroschel, M and Morellet, N and Sonnichsen, L and Hewison, AJM",data,Included,roe deer,"human activities, hunting",lynx (natural predator),"diel activity patterns, space use",,,,
rayyan-811287123,"Samango Monkeys (Cercopithecus albogularis labiatus) Manage Risk in a Highly Seasonal, Human-Modified Landscape in Amathole Mountains, South Africa",2017,"Nowak, K and Wimberger, K and Richards, SA and Hill, RA and le Roux, A",data,Included,samango monkeys,gardens (human presence),indigenous forests,"foraging behaviour, space use  ",,"Amathole Mountains, South Africa",,
rayyan-811287124,Feeding in fear? How adult male western chimpanzees (Pan troglodytes verus) adjust to predation and savanna habitat pressures,2017,"Lindshield, S and Danielson, BJ and Rothman, JM and Pruetz, JD",data,Included, chimpanzees ,gradient (proximity to anthropogenic landmarks),-,"foraging behaviour, feeding rate, vigilance",,"Fongoli, Senegal",savanna,
rayyan-811287126,A question of size and fear: competition and predation risk perception among frugivores and predators,2020,"Carreira, DC and Brodie, JF and Mendes, CP and Ferraz, KMPMB and Galetti, M",Data,Included,frugivores,levels of defaunation,top predators,"foraging time, diel activity patterns, space use",,"Atlantic Forest, Brazil",,
rayyan-811287127,African ungulates and their drinking problems: hunting and predation risks constrain access to water,2012,"Crosmary, WG and Valeix, M and Fritz, H and Madzikanda, H and Cote, SD",data,Included,"impala, greater kudu, sable antelope",hunting areas,national park,diel patterns of surface water use,,"Hwange National Park, Zimbabwe,",savanna,
rayyan-811287129,Puma responses to unreliable human cues suggest an ecological trap in a fragmented landscape,2022,"Nisi, AC and Benson, JF and Wilmers, CC",data,Included,puma,"hunting, development gradient",-,"mortality, space use, diel activity patterns",,Santa Cruz Mountains of California,,
rayyan-811287130,Can fear conditioning repel California sea lions from fishing activities?,2017,"Schakner, ZA and Gotz, T and Janik, VM and Blumstein, DT",data,Included,california sea lion,human playback,neutral tone,"space use, foraging behavior",," California, USA",,
rayyan-811287134,Top carnivores increase their kill rates on prey as a response to human-induced fear,2015,"Smith, JA and Wang, YW and Wilmers, CC",data,Included,puma,development gradient,-,"kill site fidelity, feeding time",,,,
rayyan-811287141,Living and dying in a multi-predator landscape of fear: roe deer are squeezed by contrasting pattern of predation risk imposed by lynx and humans,2014,"Lone, K and Loe, LE and Gobakken, T and Linnell, JDC and Odden, J and Remmen, J and Mysterud, A",data,Included,roe deer,hunting,lynx (natural predator),space use  ,,southeastern Norway,,
rayyan-811287148,Bird flight initiation distances in relation to distance from human settlements in a Tanzanian floodplain habitat,2015,"Bjorvik, LM and Dale, S and Hermansen, GH and Munishi, PKT and Moe, SR",data,Included,16 bird species,distance from human settlements,-,flight initiation distance,,"Kilombero Valley, Tanzania",wetland (Ramsar site),
rayyan-811287150,Human Risk Induced Behavioral Shifts in Refuge Use by Elk in an Agricultural Matrix,2017,"Visscher, DR and MacLeod, I and Vujnovic, K and Vujnovic, D and DeWitt, PD",data,Included,elk,hunting,hunting refuge areas,"diel activity patterns, space use",,"east-central Alberta, Canada",,
rayyan-811287151,Human activity affects the perception of risk by mule deer,2014,"Price, MV and Strombom, EH and Blumstein, DT",data,Included,mule deer,human observer,-,"alert distance, flight initiation distance",,,,
rayyan-811287155,"Fear of the dark? A mesopredator mitigates large carnivore risk through nocturnality, but humans moderate the interaction",2020,"Haswell, PM and Kusak, J and Jones, KA and Hayward, MW",data,Included,"grey wolf, lynx, red fox",human activity,-,"activity patterns, space use",,"Plitvice Lakes National Park, Croatia",,
rayyan-811287165,Urbanization alters fear behavior in black-capped chickadees,2018,"Van Donselaar, JL and Atma, JL and Kruyf, ZA and LaCroix, HN and Proppe, DS",data,Included,black-capped chickadees' ,urbanization gradient,cat playback,vigilance,,,,
rayyan-811287169,Behavioral changes and nutritional consequences to elk (Cervus canadensis) avoiding perceived risk from human hunters,2019,"Spitz, DB and Rowland, MM and Clark, DA and Wisdom, MJ and Smith, JB and Brown, CL and Levi, T",data,Included,elk,hunting (elk and deer),-,"change in speed, space use, activity patterns, resource selection function",,,,
rayyan-811287224,Small Prey Animal Habitat Use in Landscapes of Fear: Effects of Predator Presence and Human Activity Along an Urban Disturbance Gradient,2021,"Fardell, LL and Nano, CEM and Pavey, CR and Dickman, CR",data,Included,small prey species,development gradient AND light and sound as human disturbance cues,odors of domestic cat (Felis catus)/red fox (Vulpes vulpes) as natural predator cues,giving-up-densities ,,,,
rayyan-811287226,Human disturbance of grouse - why and when?,2013,"Storch, I",review,Included,,,,,,,,review
rayyan-811287230,Contrasting Effects of Wolves and Human Hunters on Elk Behavioral Responses to Predation Risk,2009,"Proffitt, KM and Grigg, JL and Hamlin, KL and Garrott, RA",data,Included,elk,human predation risk,wolf,"grouping patterns, space use",,,,
rayyan-811287234,Recreation and hunting differentially affect deer behaviour and sapling performance,2022,"Mols, B and Lambers, E and Cromsigt, JPGM and Kuijper, DPJ and Smit, C",data,Included,deer,zones with varying degrees of human activity (included recreation and hunting),zones with no recreation or hunting activities,"space use, foraging behavior",,,,
rayyan-811287237,Spatiotemporal patterns of lion space use in a human-dominated landscape,2015,"Oriol-Cotterill, A and Macdonald, DW and Valeix, M and Ekwanga, S and Frank, LG",data,Included,lion,human-occupied locations ,-,"space use, diel activity patterns,",,,,
rayyan-811287238,Variation in human disturbance differentially affects predation risk assessment in Western Gulls,2005,"Webb, NV and Blumstein, DT",data,Included,Western Gulls ,approaching human observer,areas with less people ,flight initiation distance,,,,
rayyan-811287239,The Effect of Human Presence and Human Activity on Risk Assessment and Flight Initiation Distance in Skinks,2014,"McGowan, MM and Patel, Pdand Stroh, JD and Blumstein, DT",data,Included,blue-tailed skinks ,human disturbance gradient,-,flight initiation distance,,,,
rayyan-811287240,Sex differences in risk perception in deep-diving bottlenose dolphins leads to decreased foraging efficiency when exposed to human disturbance,2014,"Symons, J and Pirotta, E and Lusseau, D",data,Included,bottlenose dolphins,presence of tour vessel,absence of tour vessel,dive behaviour,,,,
rayyan-811287243,From overlooking to concealed: predator avoidance in an apex carnivore,2012,"Wam, HK and Eldegard, K and Hjeljord, O",data,Included,gray wolf,approached by human,compared to before they were approached,space use,,,,
rayyan-811287245,Behavioral responses to predatory sounds predict sensitivity of cetaceans to anthropogenic noise within a soundscape of fear,2022,"Miller, PJO and Isojunno, S and Siegal, E and Lam, FPA and Kvadsheim, PH and Cure, C",data,Included,"bottlenose, humpback, long-finned pilot and sperm whales",naval sonar (anthropogenic sound),killer whale sound (natural predator),foraging time  ,,,,
rayyan-811287255,Fear-induced behavioural modifications in damselfishes can be diver-triggered,2019,"Benevides, LJ and Cardozo-Ferreira, GC and Ferreira, CEL and Pereira, PHC and Pinto, TK and Sampaio, CLS",data,Included,dusky damselfish,diver presence,diver absence,"frequency of refuge, foraging and chase behaviours",,,,
rayyan-811287256,Differential risk perception of rural and urban Burrowing Owls exposed to humans and dogs,2016,"Cavalli, M and Baladron, AV and Isacch, JP and Biondi, LM and Bo, MS",data,Included,burrowing owls,urban habitat,rural habitat,"flight initiation distances, nest returning, and aggressiveness level",,,,
rayyan-811287260,Using the risk-disturbance hypothesis to assess the relative effects of human disturbance and predation risk on foraging American oystercatchers,2005,"Peters, KA and Otis, DL",Data,Included,American Oystercatcher,boating activity,natural predator density,vigilance behaviour,,"Cape Romain National Wildlife Refuge, South Carolina",,
rayyan-811287263,Behavioral responses of male elk to hunting risk,2022,"Smith, JB and Spitz, DB and Brown, CL and Wisdom, MJ and Rowland, MM and Forrester, TD and Johnson, BK and Clark, DA",data,Included,elk,hunting,-,"space use, activity patterns",,"northeast Oregon, USA",,
rayyan-811287316,Red deer allocate vigilance differently in response to spatio-temporal patterns of risk from human hunters and wolves,2021,"Proudman, NJ and Churski, M and Bubnicki, JW and Nilsson, JA and Kuijper, DPJ",data,Included,red deer,"human settlements, hunting",wolf habitat,"vigilance, space use, activity patterns",,Polish Bialowiez. a Forest,,
rayyan-811287317,Short-term effects of hunting on naive black-tailed deer (Odocoileus hemionus sitkensis): behavioural response and consequences on vegetation growth,2014,"Le Saout, S and Padie, S and Chamaille-Jammes, S and Chollet, S and Cote, S and Morellet, N and Pattison, J and Harris, E and Martin, JL",data,Included,black-tailed deer,hunting,unmarked deer?,foraging behaviour,,,,
rayyan-811287319,Human visitation limits the utility of protected areas as ecological baselines,2017,"Sarmento, WM and Berger, J",data,Included,mountain goat,human presence,grizzly bear,"vigilance, space use",,"Glacier National Park, North America",,
rayyan-811287321,Human selection of elk behavioural traits in a landscape of fear,2012,"Ciuti, S and Muhly, TB and Paton, DG and McDevitt, AD and Musiani, M and Boyce, MS",data,Included,elk,hunting,elks that survived hunting,"movement patterns, space use",,,,
rayyan-811287322,The ethological deconstruction of fear(s),2018,"Mobbs, D",concept,Included,,,,,,,,
rayyan-811287323,Individual Heterogeneity in Use of Human Shields by Mountain Nyala,2014,"Atickem, A and Loe, LE and Stenseth, NC",data,Included,mountain nyala,human settlements ,hyena (natural predator),"space use, diel activity patterns,",,"Bale Mountains National Park, Ethiopia ",,
rayyan-811287324,Behavioural adjustments of a large carnivore to access secondary prey in a human-dominated landscape,2012,"Valeix, M and Hemson, G and Loveridge, AJ and Mills, G and Macdonald, DW",data,Included,African lions,human activity,-,"foraging behaviour, space use",,,Botswana Makgadikgadi,
rayyan-811287327,Fossoriality in a risky landscape: badger sett use varies with perceived wolf risk,2021,"Diserens, TA and Bubnicki, JW and Schutgens, E and Rokx, K and Kowalczyk, R and Kuijper, DPJ and Churski, M",data,Included,European badger  ,human settlements,wolves,denning behaviour,,Poland,,
rayyan-811287330,Should risk allocation strategies facilitate or hinder habituation to nonlethal disturbance in wildlife?,2010,"Sirot, E",theoretical model,Included,,,,,,,,theoretical model
rayyan-811287332,Fear of Fishers: Human Predation Explains Behavioral Changes in Coral Reef Fishes,2011,"Januchowski-Hartley, FA and Graham, NAJ and Feary, DA and Morove, T and Cinner, JE",data,Included,coral reef fish,gradient of fishing pressure,-,flight initiation distance and pre-flight behavioru,,Papua New Guinea,,
rayyan-811287335,Antipredator behavior in blackbirds: habituation complements risk allocation,2009,"Rodriguez-Prieto, I and Fernandez-Juricic, E and Martin, J and Regis, Y",data,Included,blackbird,parks with high human visitation,parks with low human visitation,flight initiation distance,,,,
rayyan-811287336,Effects of Humans on Behaviour of Wildlife Exceed Those of Natural Predators in a Landscape of Fear,2012,"Ciuti, S and Northrup, JM and Muhly, TB and Simi, S and Musiani, M and Pitt, JA and Boyce, MS",data,Included,elk,human disturbances  ,natural predators,"vigilance, feeding time",,"Alberta, Canada",,
rayyan-811287337,Risk perception by endangered European bison Bison bonasus is context (condition) dependent,2015,"Hayward, MW and Ortmann, S and Kowalczyk, R",data,Included,European bison,hunting,wolf predation,"forage selection behaviour, giving up density",,BiaowieA1/4a Primeval Forest (Poland),,
rayyan-811287343,Moose in our neighborhood: Does perceived hunting risk have cascading effects on tree performance in vicinity of roads and houses?,2022,"Mehlhoop, AC and Van Moorter, B and Rolandsen, CM and Hagen, D and Granhus, A and Eriksen, R and Ringsby, TH and Solberg, EJ",data,Included,ungulates,human infrastructure ,-,"browsing, tree recruitment",,,,
rayyan-811287345,Level of local human disturbance and feeding state determines escape behaviour in Eurasian Oystercatchers,2021,"Azaki, BDA and Cresswell, W",data,Included,Eurasian Oystercatchers,human approacher,-,flight initiation distance,,south east Scotland,,
rayyan-811287350,Human disturbances increase vigilance levels in sika deer (Cervus nippon): A preliminary observation by camera-trapping,2021,"Tsunoda, H",data,Included,sika deer,human disturbances,low human activity area,vigilance,,,,control not clear
rayyan-811287355,"What Drives Wolves: Fear or Hunger? Humans, Diet, Climate and Wolf Activity Patterns",2009,"Theuerkauf, J",review,Included,,,,,,,,review 
rayyan-811287362,Presence of mammalian predators decreases tolerance to human disturbance in a breeding shorebird,2010,"St Clair, JJH and Garcia-Pena, GE and Woods, RW and Szekely, T",data,Included,two-banded plover,human approaching,feral cat predator presence levels,flushing distances,,Falkland Islands and Argentina,,
rayyan-811287363,Anti-predator behavior in pure and hybrid red-legged partridges,2019,"Davila, SG and Cuenca, OT and Gil, MG and Toledano-Diaz, OA and Castano, C and Santiago-Moreno, J and Campo, JL",data,Included,partridges,human presence,-,escape response,,,,caged birds; relevant?
rayyan-811287368,Relationship Between Hunting Time Schedule and Sika Deer Spatial Displacement in Hunting with and Without Driving,2020,"Yamaguchi, S and Takeshita, KM and Tanikawa, K and Kaji, K",data,Included,sika deer,hunting,-,spatial displacement,," Tanzawa Mountains, Japan",,is outcome relevant?
rayyan-811287373,Antipredator behaviour of African ungulates around human settlements,2018,"Yamashita, T and Gaynor, KM and Kioko, J and Brashares, J and Kiffner, C",data,Included,ungulates,distance from human settlements,-,flight response,,Tarangire-Manyara ecosystem in northern Tanzania,,
rayyan-811287381,Behavior-specific habitat selection by African lions may promote their persistence in a human-dominated landscape,2019,"Suraci, JP and Frank, LG and Oriol-Cotterill, A and Ekwanga, S and  Williams, TM and Wilmers, CC",data,Included,African lions,human activity,-,habitat selection  ,,Kenya,,
rayyan-811287387,Vulnerability to predation and water constraints limit behavioural adjustments of ungulates in response to hunting risk,2012,"Crosmary, WG and Makumbe, P and Cote, SD and Fritz, H",data,Included,"impala, greater kudu, sable antelope",hunting areas,national park,vigilance,,"Hwange National Park (HNP), Zimbabwe",,
rayyan-811287391,Hunger mediates apex predator's risk avoidance response in wildland-urban interface,2018,"Blecha, KA and Boone, RB and Alldredge, MW",data,Included,puma,suburban area,wildland,hunting site selection and success,,,,
rayyan-811287406,Human-caused disturbance stimuli as a form of predation risk,2002,"Frid, A and Dill, L",review,Included,,,,,,,,
rayyan-811287410,No single solution: application of behavioural principles in mitigating human-wildlife conflict,2016,"Blackwell, BF and DeVault, TL and Fernandez-Juricic, E and Gese, EM and Gilbert-Norton, L and Breck, SW",applied  ,Included,,,,,,,,
rayyan-811287415,Red deer Cervus elephus vigilance behaviour differs with habitat and type of human disturbance,2008,"Jayakody, S and Sibbald, AM and Gordon, IJ and Lambin, X",data,,red deer,high number of human visitors,relatively fewer visitors,vigilance,,Scottish Highlands,,
rayyan-811287417,Landscapes of Coexistence for terrestrial carnivores: the ecological consequences of being downgraded from ultimate to penultimate predator by humans,2015,"Oriol-Cotterill, A and Valeix, M and Frank, LG and Riginos, C and Macdonald, DW",review,Included,,,,,,,,review
rayyan-811287420,"The role of hunting on Sapajus xanthosternos' landscape of fear in the Atlantic Forest, Brazil",2021,"Suscke, P and Presotto, A; Izar, P",data,Included,yellow-breasted capuchin monkey,hunting pressure,natural predation risk,space use,,Una Biological Reserve (ReBio Una),,
rayyan-811287424,Effects of predator behavior and proximity on risk assessment by Columbian black-tailed deer,2006,"Stankowich, T and Coss, RG",data,Included,Columbian black-tailed deer ,approaching human with gun,-,fleeing behaviour,,,,
rayyan-811287426,Perception of Human-Derived Risk Influences Choice at Top of the Food Chain,2013,"Cristescu, B and Stenhouse, GB and Boyce, MS",data,Included,grizzly bears,human activity areas,protected areas,resting site selection,,Canada,,
rayyan-811287430,Does Human Predation Risk Affect Harvest Susceptibility of White-Tailed Deer During Hunting Season?,2014,"Little, AR and Demarais, S and Gee, KL and Webb, SL and Riffell, SK and Gaskamp, JA and Belant, JL",data,Included,white-tailed deer,hunting,-,"observability, movement rate and resource selection",,"Oklahoma, USA",,
rayyan-811287438,FORAGING BEHAVIOR OF URBAN BIRDS: ARE HUMAN COMMENSALS LESS SENSITIVE TO PREDATION RISK THAN THEIR NONURBAN COUNTERPARTS?,2008,"Tsurim, I and Abramsky, Z and Kotler, BP",data,Included,"house sparrow, spanish sparrow",urban,rural,giving up density,,,,
rayyan-811287441,Does human pedestrian behaviour influence risk assessment in a successful mammal urban adapter?,2014,"Bateman, PW and Fleming, PA",data,Included,eastern grey squirrels,approaching human observer,-,"alert distance, flight initiation distance (FID), distance fled",,New York City,,
rayyan-811287447,Wolverine behavior varies spatially with anthropogenic footprint: implications for conservation and inferences about declines,2016,"Stewart, FEC and Heim, NA and Clevenger, AP and Paczkowski, J and Volpe, JP and Fisher, JT",data,Maybe,wolverine,gradient of human footprint,-,vigilance,,,,
rayyan-811287449,Humans rather than Eurasian lynx (Lynx lynx) shape ungulate browsing patterns in a temperate forest,2022,"Calkoen, STSV and Deis, MH and Oeser, J and Kuijper, DPJ and Heurich, M",data,Included,ungulates,distance from human settlements,Eurasian Lynx,foraging behaviour,,Bavarian Forest,,
rayyan-811287455,Testing the risk-disturbance hypothesis in a fragmented landscape: Nonlinear responses of House Sparrows to humans,2003,"Fernandez-Juricic, E; Sallent, A; Sanz, R; Rodriguez-Prieto, I",data,Included,House sparrow ,human disturbance,-,foraging behaviour (consumption of artificial food),,,,
rayyan-811287457,Porcupines in the landscape of fear: effect of hunting with dogs on the behaviour of a non-target species,2017,"Mori, E",data,Maybe,crested porcupine,hunting,-,space use,,,,
rayyan-811287459,Different factors that modify anti-predator behaviour in guanacos (Lama guanicoe),2014,"Taraborelli, P and Ovejero, R and Torres, MEM and Schroeder, NM and Moreno, P and Gregorio, P and Marcotti, E and Marozzi, A and Carmanchahi, P",data,Included,guanaco,high poaching density area,low poaching density are,"flight initiation distance, alert distance, anti-predator response",,,,
rayyan-811287462,Interspecific variation in large mammal responses to human observers along a conservation gradient with variable hunting pressure,2014,"Kiffner, C and Kioko, J and Kissui, B and Painter, C and Serota, M and White, C and Yager, P",data,Included,"African elephant, Maasai giraffe, plains zebra, common wildebeest, Grant's gazelle, impala, Thomson's gazelle and Kirk's dik dik",human observers,variable hunting pressures,flight behaviour,,,,
rayyan-811287464,Urban fox squirrels exhibit tolerance to humans but respond to stimuli from natural predators,2021,"Kittendorf, A and Dantzer, B",data,Included,fox squirrels,human observer,predator playback,vigilance,,,,
rayyan-811287468,Human- and risk-mediated browsing pressure by sympatric antelope in an African savanna,2019,"Otieno, TO and Goheen, JR and Webala, PW and Mwangi, A and Osuga, IM and Ford, AT",data,Included,"dik dik, impala",high risk habitat,low risk habitat,foraging behavior,,,African savannas,
rayyan-811287469,"Risk-taking in free-living spotted hyenas is associated with anthropogenic disturbance, predicts survivorship, and is consistent across experimental contexts",2020,"Turner, JW and LaFleur, RM and Richardson, AT and Holekamp, KE",data,Included,spotted hyena,gradient of human activity,model hyena (representing an intruder from another clan),vigilance,,Kenya,,
rayyan-811287471,Risk perception of vervet monkeys Chlorocebus pygerythrus to humans in urban and rural environments,2018,"Mikula, P and Saffa, G and Nelson, E and Tryjanowski, P",data,Included,vervet monkey,urban habitat,rural habitat,flight initiation distance,,,,
rayyan-811287475,"Who are you looking at? Hadeda ibises use direction of gaze, head orientation and approach speed in their risk assessment of a potential predator",2011,"Bateman, PW and Fleming, PA",data,Included,hadeda ibis,approaching human observer,-,"alert distance, flight initiation distance",,,,
rayyan-811287480,Prey responses to predation risk under chronic road noise,,"Giordano, A and Hunninck, L and Sheriff, MJ",data,Included,small mammals,anthropogenic noise,predation risk,giving up density,,,,
rayyan-811287484,"The Intersection of Human Disturbance and Diel Activity, with Potential Consequences on Trophic Interactions",2019,"Patten, MA and Burger, JC and Mitrovich, M",data,Included,mammals,human disturbance,-,diel activity patterns,,,,
rayyan-811287487,Endangered Apes-Can Their Behaviors Be Used to Index Fear and Disturbance in Anthropogenic Landscapes?,2021,"Reisland, MA and Malone, N and Lambert, JE",data,Included,Javan gibbon,human presence,-,"vocalizing, feeding, traveling, and social interactions",,"Cagar Alam Leuweung Sancang, West Java",,
rayyan-811287488,The Geography of Fear: A Latitudinal Gradient in Anti-Predator Escape Distances of Birds across Europe,2013,"Diaz, M and Moller, AP and Flensted-Jensen, E and Grim, T and Ibanez-Alamo, JD and Jokimaki, J and Marko, G and Tryjanowski, P",data,Included,birds  ,urbanization gradient,raptor presence,flight initiation distance,,Southern Spain to Northern Finland,,
rayyan-811287489,The emergence of tolerance of human disturbance in Neotropical birds,2020,"Tryjanowski, P and Kosicki, JZ and Hromada, M and Mikula, P",data,Included,birds,disturbed area ,undisturbed area,escape behaviour  ,,"Pantanal, Mato Grosso ",,
rayyan-811287496,Threading the needle: How humans influence predator-prey spatiotemporal interactions in a multiple-predator system,2021,"Murphy, A and Diefenbach, DR and Ternent, M and Lovallo, M and Miller, D",data,Included,white-tailed deer,human disturbance gradient,"black bear, coyote and bobcat presence","vigilance, space use, diel activity patterns",,,,
rayyan-811287500,Effects of Human Disturbance on Terrestrial Apex Predators,2021,"Ordiz, A and Aronsson, M and Persson, J and Stoen, OG and Swenson, JE and Kindberg, J",review,Included,,,,,,,,
rayyan-811287501,Flight responses of eastern gray kangaroos to benign or harmful human behavior,2019,"Austin, CM and Ramp, D",data,Included,eastern gray kangaroo,approaching human observer,-,"vigilance, alert distance, flight initiatino distance",,,,
rayyan-811287505,Human activity and habitat type affect perceived predation risk in urban white-footed mice (Peromyscus leucopus),2017,"Persons, WE and Eason, P",data,Included,white-footed mice,human presence and light pollution,different microhabitats,"giving up density, foraging behavior",,,,
rayyan-811287567,Ruppell's fox movement and spatial behavior are influenced by topography and human activity,,"Barocas, A and Hefner, R and Ucko, M and Shalmon, B and Leader, N and Geffen, E",data,Included,Ruppell's fox,infrastucture,-,space use,,,desert,
rayyan-811287568,Consistency in the flight and visual orientation distances of habituated chacma baboons after an observed leopard predation. Do flight initiation distance methods always measure perceived predation risk?,2021,"Allan, ATL and Bailey, AL and Hill, RA",data,Included,chacma baboons,human observer,leopard predation,flight initiation distance,,,,
rayyan-811287573,Conservation and the scarecrow effect: Can human activity benefit threatened species by displacing predators?,2010,"Leighton, PA and Horrocks, JA and Kramer, DL",data,Included,mongoose,human activity,-,"space use, depredation of hawksbill nests by mongooses",,,,
