"key","title","year","journal","authors","language","location","abstract","RAYYAN-EXCLUSION-REASONS","RAYYAN-LABELS","reviewer","status","exposure","control","outcome","population","intervention"
"rayyan-811287061","THE IMPLICATIONS OF FEAR ECOLOGY FOR INTERACTIONS AMONG PREDATORS, PREY AND MESOPREDATORS",2019,"JOURNAL OF ANIMAL AND PLANT SCIENCES","Mpemba, H and Yang, F and Jiang, G","English","Northeast Forestry Univ, Coll Wildlife & Protected Areas, Feline Res Ctr Natl Forestry & Grassland Adm, Harbin 150040, Heilongjiang, Peoples R China     FU  - Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities [2572017PZ14]; National Key Programme of Research and Development, Ministry of Science and Technology [2016YFC0503200]; National Nature Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [NSFC 31872241, 31572285]     FX  - We thank our colleagues in the Feline Research Center of National Foretry and Grassland Administration, College of Wildlife and Protected Areas, Northeast Forestry University for their appreciated suggestions during the preparation of this work. We received fund from the Fundamental Research Funds for the Central Universities (2572017PZ14), the fund from the National Key Programme of Research and Development, Ministry of Science and Technology (2016YFC0503200), and National Nature Science Foundation of China (NSFC 31872241; 31572285).     PU  - PAKISTAN AGRICULTURAL SCIENTISTS FORUM     PI  - LAHORE     PA  - UNIV VETERINARY & ANIMAL SCIENCES, LAHORE, 00000, PAKISTAN","Wildlife, as well as human beings, are prone to be affected by fear. Large predators and mesopredators usually produce this fear in animals. This effect is recognised in the form of various behavioural changes and adaptations, which, in turn, affects the whole ecosystem. However, we often overlook the role of large predators and mesopredators in the sustenance of our ecosystem by such non-lethal effects, because fear is often seen as a psychological effect rather than something that can be found through explicit scientific means. Indeed, the fear that predators trigger inside their prey may play a significant role in the maintenance of the natural environment. This paper aims to analyse this hypothesis by reviewing the function of the ecology of fear based on the interaction among predators, prey, and mesopredators. We consider the factors involved in the effective functionality of the ecology of fear, including habitat landscape, season, weather, and predation risk. We also assess the extent of influence of large predators on behaviour and distribution of prey and mesopredators in terms of predation cues and prey grouping as responses to predation risk. Finally, we discuss the implications of fear ecology for wildlife conservation and management and new challenges.",," review","Shawn","Maybe",,,,,
"rayyan-811287063","Parental habituation to human disturbance over time reduces fear of humans in coyote offspring",2018,"ECOLOGY AND EVOLUTION","Schell, CJ and Young, JK and Lonsdorf, EV and Santymire, RM and Mateo, JM","English","[""Univ Chicago, Comm Evolutionary Biol, Chicago, IL 60637 USA"", ""Univ Washington, Sch Interdisciplinary Arts & Sci, Tacoma, WA USA"", ""Utah State Univ, USDA WS NWRC, Predator Res Facil, Dept Wildland Resources, Logan, UT 84322 USA"", ""Franklin & Marshall Coll, Dept Psychol, Lancaster, PA 17604 USA"", ""Lincoln Pk Zoo, Conservat & Sci Dept, Chicago, IL USA     FU  - Pritzker School of Medicine (Hinds Fellowship); Animal and Plant Health Inspection Service (NWRC Predator Research Facility Fellowship); United Negro College Fund Special Programs Corporation (MERCK Fellowship); MerckMerck & Company; U.S. Department of AgricultureUnited States Department of Agriculture (USDA) [72184]; University of ChicagoUniversity of Chicago; Directorate for Biological Sciences (NSF Graduate Research Fellowship Program (GRFP))     FX  - Pritzker School of Medicine, Grant/Award Number: Hinds Fellowship (2011, 2013); Animal and Plant Health Inspection Service, Grant/Award Number: NWRC Predator Research Facility Fellowship; United Negro College Fund Special Programs Corporation, Grant/Award Number: MERCK Fellowship; Directorate for Biological Sciences, Grant/Award Number: NSF Graduate Research Fellowship Program (GRFP); Merck; U.S. Department of Agriculture, Grant/Award Number: 72184; University of Chicago     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","A fundamental tenet of maternal effects assumes that maternal variance over time should have discordant consequences for offspring traits across litters. Yet, seldom are parents observed across multiple reproductive bouts, with few studies considering anthropogenic disturbances as an ecological driver of maternal effects. We observed captive coyote (Canis latrans) pairs over two successive litters to determine whether among-litter differences in behavior (i.e., risk-taking) and hormones (i.e., cortisol and testosterone) corresponded with parental plasticity in habituation. Thus, we explicitly test the hypothesis that accumulating experiences of anthropogenic disturbance reduces parental fear across reproductive bouts, which should have disparate phenotypic consequences for first- and second-litter offspring. To quantify risk-taking behavior, we used foraging assays from 5-15 weeks of age with a human observer present as a proxy for human disturbance. At 5, 10, and 15 weeks of age, we collected shaved hair to quantify pup hormone levels. We then used a quantitative genetic approach to estimate heritability, repeatability, and between-trait correlations. We found that parents were riskier (i.e., foraged more frequently) with their second versus first litters, supporting our prediction that parents become increasingly habituated over time. Second-litter pups were also less risk-averse than their first-litter siblings. Heritability for all traits did not differ from zero (0.001-0.018); however, we found moderate support for repeatability in all observed traits (r = 0.085-0.421). Lastly, we found evidence of positive phenotypic and cohort correlations among pup traits, implying that cohort identity (i.e., common environment) contributes to the development of phenotypic syndromes in coyote pups. Our results suggest that parental habituation may be an ecological cue for offspring to reduce their fear response, thus emphasizing the role of parental plasticity in shaping their pups' behavioral and hormonal responses toward humans.",," data","Shawn","Maybe","human presence","none","foraging time","captive cayote",
"rayyan-811287066","Energetics and fear of humans constrain the spatial ecology of pumas",2021,"PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","Nickel, BA and Suraci, JP and Nisi, AC and Wilmers, CC","English","Univ Calif Santa Cruz, Ctr Integrated Spatial Res, Environm Studies Dept, Santa Cruz, CA 95064 USA     FU  - Gordon and Betty Moore FoundationGordon and Betty Moore Foundation; NSFNational Science Foundation (NSF) [1255913, 0963022]     FX  - We thank P. Houghtaling, R. King, C. Fust, S. McCain, and K. Briner for help in the field and many undergraduate volunteers for assistance with fieldwork. We thank the California Department of Fish and Wildlife, C. Wylie, D. Tichenor, B. Milsap, and T. Collinsworth for their assistance capturing pumas, and the many landowners that have allowed us access to their property. Funding was provided by the Gordon and Betty Moore Foundation and NSF (Grants 1255913 and 0963022 to C.C.W.). Portions of the paper were developed from the thesis of B.A.N.     PU  - NATL ACAD SCIENCES     PI  - WASHINGTON     PA  - 2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA","Energetic demands and fear of predators are considered primary factors shaping animal behavior, and both are likely drivers of movement decisions that ultimately determine the spatial ecology of wildlife. Yet energetic constraints on movement imposed by the physical landscape have only been considered separately from those imposed by risk avoidance, limiting our understanding of how short-term movement decisions scale up to affect long-term space use. Here, we integrate the costs of both physical terrain and predation risk into a common currency, energy, and then quantify their effects on the short-term movement and long-term spatial ecology of a large carnivore living in a human-dominated landscape. Using high-resolution GPS and accelerometer data from collared pumas (Puma concolor), we calculated the short-term (i.e., 5-min) energetic costs of navigating both rugged physical terrain and a landscape of risk from humans (major sources of both mortality and fear for our study population). Both the physical and risk landscapes affected puma short-term movement costs, with risk having a relatively greater impact by inducing high-energy but low-efficiency movement behavior. The cumulative effects of short-term movement costs led to reductions of 29% to 68% in daily travel distances and total home range area. For male pumas, long-term patterns of space use were predominantly driven by the energetic costs of human-induced risk. This work demonstrates that, along with physical terrain, predation risk plays a primary role in shaping an animal's ""energy landscape"" and suggests that fear of humans may be a major factor affecting wildlife movements worldwide.",," data","Shawn","Included","development gradient","none","space use, movement","puma",
"rayyan-811287069","An applied ecology of fear framework: linking theory to conservation practice",2021,"ANIMAL CONSERVATION","Gaynor, KM and Cherry, MJ and Gilbert, SL and Kohl, MT and Larson, CL and Newsome, TM and Prugh, LR and Suraci, JP and Young, JK and Smith, JA","English","[""Univ Calif Santa Barbara, Natl Ctr Ecol Anal & Synth, Santa Barbara, CA 93106 USA"", ""Univ Calif Berkeley, Dept Environm Sci Policy & Management, Berkeley, CA 94720 USA"", ""Texas A&M Univ, Caesar Kleberg Wildlife Res Inst, Kingsville, TX USA"", ""Univ Idaho, Dept Fish & Wildlife Sci, Moscow, ID 83843 USA"", ""Univ Georgia, Warnell Sch Forestry & Nat Resources, Athens, GA 30602 USA"", ""Nature Conservancy, Lander, WY USA"", ""Univ Sydney, Sch Life & Environm Sci, Sydney, NSW, Australia"", ""Univ Washington, Sch Environm & Forest Sci, Seattle, WA 98195 USA"", ""Univ Calif Santa Cruz, Dept Environm Studies, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA"", ""USDA, Predator Res Facil, Natl Wildlife Res Ctr, Millville, UT USA"", ""Univ Calif Davis, Dept Wildlife Fish & Conservat Biol, Davis, CA 95616 USA     FU  - Wildlife Society Damage Control Working Group; Schmidt Science Fellows program; Rhodes Trust; USDA -National Wildlife Research CenterUnited States Department of Agriculture (USDA)     FX  - This study arose from an organized symposium at The Wildlife Society's 2018 conference in Cleveland, Ohio, \""When does fear matter in wildlife management?\"" The symposium was sponsored by the Wildlife Society Damage Control Working Group. We thank Dan Blumstein and three anonymous reviewers for feedback on this manuscript. KMG was supported by the Schmidt Science Fellows program, in partnership with the Rhodes Trust. This research was funded in part by USDA -National Wildlife Research Center. The findings and conclusions in this publication have not been formally disseminated by the U.S. Department of Agriculture and should not be construed to represent any agency determination or policy.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Research on the ecology of fear has highlighted the importance of perceived risk from predators and humans in shaping animal behavior and physiology, with potential demographic and ecosystem-wide consequences. Despite recent conceptual advances and potential management implications of the ecology of fear, theory and conservation practices have rarely been linked. Many challenges in animal conservation may be alleviated by actively harnessing or compensating for risk perception and risk avoidance behavior in wild animal populations. Integration of the ecology of fear into conservation and management practice can contribute to the recovery of threatened populations, human-wildlife conflict mitigation, invasive species management, maintenance of sustainable harvest and species reintroduction plans. Here, we present an applied framework that links conservation interventions to desired outcomes by manipulating ecology of fear dynamics. We discuss how to reduce or amplify fear in wild animals by manipulating habitat structure, sensory stimuli, animal experience (previous exposure to risk) and food safety trade-offs to achieve management objectives. Changing the optimal decision-making of individuals in managed populations can then further conservation goals by shaping the spatiotemporal distribution of animals, changing predation rates and altering risk effects that scale up to demographic consequences. We also outline future directions for applied research on fear ecology that will better inform conservation practices. Our framework can help scientists and practitioners anticipate and mitigate unintended consequences of management decisions, and highlight new levers for multi-species conservation strategies that promote human-wildlife coexistence.",," review","Shawn","Included",,,,,
"rayyan-811287074","Habituation reverses fear-based ecological effects in brown bears (Ursus arctos)",2016,"ECOSPHERE","Wheat, RE and Wilmers, CC","English","Univ Calif Santa Cruz, Dept Environm Studies, Ctr Integrated Spatial Res, 1156 High St, Santa Cruz, CA 95064 USA     FU  - NSF GRFNational Science Foundation (NSF)     FX  - This work was funded by an NSF GRF to R.E.W. We thank Anthony Crupi from Alaska Department of Fish and Game for his expertise and S. Campbell, L. Girard, M. Hart, L. Minch, E. Warman, S. Wilson, and R. McGee for field assistance. Special thanks to Shannon Donahue for providing lower Chilkoot River data.     PU  - WILEY-BLACKWELL     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Fear induced by human activity is increasingly becoming recognized to influence both behavior and population biology of wildlife. Exposure to human activity can cause animals to avoid human dominated areas or shift temporal activity patterns, but repeated, benign exposure can also result in habituation of individuals. Habituation is typically viewed as a negative potential consequence of human interactions with wildlife, with effects such as increased vulnerability of habituated animals to predation. Concurrently, the advancement of the understanding of the ecology of fear has shown reduced fitness in species because of behavioral changes in responses to fear of predators including humans. Here, we test how habituation and fear drive the foraging ecology of brown bears (Ursus arctos) feeding on Pacific salmon (Oncorhynchus spp.) in Southeast Alaska, USA. We used motion-detecting trail cameras at salmon spawning areas across a gradient of human disturbance to record human and bear activity at fine spatial and extended temporal scales. Higher human activity was associated with increased nocturnality of non-habituated bears, likely leading to suboptimal foraging, but had no effect on habituated individuals. For the top 20% of sites for which human activity was greatest, an average of 78.7% of the activity of non habituated bears was nocturnal, compared with an average of only 10.2% of the activity of habituated individuals. Habituation of brown bears in this system alleviated perceived risk and avoidance of human activity, allowing habituated individuals to overcome their fear of human presence and maximize foraging opportunities. While habituation may lessen some of the deleterious effects of human activity on large carnivores, the long-term effects of habituation may be negative, as habituated individuals may be at greater risk of depredation. Future research should examine whether habituated bears and their lower perceived risk of human activity ultimately experience smaller population-level effects of human disturbance than non-habituated individuals.",," data","Shawn","Included","habituation, disturbance","habituated bears","space use, foraging\n","brown bear","habituation, disturbance"
"rayyan-811287075","Mismatch Between Risk and Response May Amplify Lethal and Non-lethal Effects of Humans on Wild Animal Populations",2021,"FRONTIERS IN ECOLOGY AND EVOLUTION","Smith, JA and Gaynor, KM and Suraci, JP","English","[""Univ Calif Davis, Dept Wildlife Fish & Conservat Biol, Davis, CA 95616 USA"", ""Univ Calif Santa Barbara, Natl Ctr Ecol Anal & Synth, Santa Barbara, CA 93106 USA"", ""Univ Calif Santa Cruz, Environm Studies Dept, Ctr Integrated Spatial Res, Santa Cruz, CA 95064 USA"", ""Conservat Sci Partners Inc, Truckee, CA USA     FU  - Schmidt Science Fellows program; Rhodes Trust; UC Santa Barbara Library Open Access Publishing Fund     FX  - KG was supported by the Schmidt Science Fellows program, in partnership with the Rhodes Trust. Publication was supported by the UC Santa Barbara Library Open Access Publishing Fund.     PU  - FRONTIERS MEDIA SA     PI  - LAUSANNE     PA  - AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND""]","Human activity has rapidly transformed the planet, leading to declines of animal populations around the world through a range of direct and indirect pathways. Humans have strong numerical effects on wild animal populations, as highly efficient hunters and through unintentional impacts of human activity and development. Human disturbance also induces costly non-lethal effects by changing the behavior of risk-averse animals. Here, we suggest that the unique strength of these lethal and non-lethal effects is amplified by mismatches between the nature of risk associated with anthropogenic stimuli and the corresponding response by wild animals. We discuss the unique characteristics of cues associated with anthropogenic stimuli in the context of animal ecology and evolutionary history to explore why and when animals fail to appropriately (a) detect, (b) assess, and (c) respond to both benign and lethal stimuli. We then explore the costs of over-response to a benign stimulus (Type I error) and under-response to a lethal stimulus (Type II error), which can scale up to affect individual fitness and ultimately drive population dynamics and shape ecological interactions. Finally, we highlight avenues for future research and discuss conservation measures that can better align animal perception and response with risk to mitigate unintended consequences of human disturbance.",," review","Shawn","Included",,,,,
"rayyan-811287086","Landscape of fear and human-predator coexistence: Applying spatial predator-prey interaction theory to understand and reduce carnivore-livestock conflict",2019,"BIOLOGICAL CONSERVATION","Miller, JRB and Schmitz, OJ","English","[""Defenders Wildlife, Ctr Conservat Innovat, 1130 17th St NW, Washington, DC 20036 USA"", ""Yale Univ, Sch Forestry & Environm Studies, 370 Prospect St, New Haven, CT 06511 USA     PU  - ELSEVIER SCI LTD     PI  - OXFORD     PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND""]","In recent decades the 'landscape of fear' has grown in popularity to become a central consideration in wildlife management, and has even been reconceptualized as the 'landscape of coexistence' for understanding human-wildlife conflicts such as predator attacks on livestock. Yet fear effects are not always the predominant driver of predator-prey interactions. Thus, guiding ecological principles have not been assembled to explain the broader food web interactions that shape the context dependency of carnivore-livestock conflict. We address this gap by developing a conceptual framework as a way to think about the contingencies under which inducing non-consumptive 'fear effects' on predators would be effective to mitigate carnivore-livestock conflict. The framework specifically considers interactions among wildlife (carnivore predators, wild ungulate prey) and humans (people and livestock) in terms of spatial predator-prey assemblages in which the nature of wildlife-human interactions - as either a carnivore-livestock conflict or a coexistence food web - is contingent on the nature of spatial movement and overlap of humans and wildlife across landscapes. Considering human-wildlife interactions within such a spatial food web context can assist in enabling people and wildlife, especially imperiled carnivores, to coexist in human-modified landscapes. The framework offers predictions that should be tested via adaptive management experiments that evaluate whether conflict mitigation solutions aligned with particular spatial human-livestock-carnivore contexts do indeed resolve conflict.",," applied,concept","Shawn","Included",,,,,
"rayyan-811287095","Ecology and Neurobiology of Fear in Free-Living Wildlife",2020,"ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 51, 2020","Zanette, LY and Clinchy, M","English","Western Univ, Dept Biol, London, ON N6A 5B7, Canada     FU  - Natural Sciences and Engineering Research Council of CanadaNatural Sciences and Engineering Research Council of Canada (NSERC)CGIAR     FX  - We thank Jim Estes for inviting this review. We thank Evan Preisser for collaborating with us in cofounding the Predator-Prey InteractionsGordon Research Conference series, which has helped foster interdisciplinary dialogue linking the ecology and neurobiology of fear, and from which we derived many of the ideas presented here. Funding for research related to this review came from the Natural Sciences and Engineering Research Council of Canada.     PU  - ANNUAL REVIEWS     PI  - PALO ALTO     PA  - 4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, CA 94303-0897 USA","The ecology of fear concerns the population-, community-, and ecosystem-level consequences of the behavioral interactions between predators and prey, i.e., the aggregate impacts of individual responses to life-threatening events. We review new experiments demonstrating that fear itself is powerful enough to affect the population growth rate in free-living wild birds and mammals, and fear of large carnivores-or the human super predator-can cause trophic cascades affecting plant and invertebrate abundance. Life-threatening events like escaping a predator can have enduring, even lifelong, effects on the brain, and new interdisciplinary research on the neurobiology of fear in wild animals is both providing insights into post-traumatic stress (PTSD) and reinforcing the likely commonality of population- and community-level effects of fear in nature. Failing to consider fear thus risks dramatically underestimating the total impact predators can have on prey populations and the critical role predator-prey interactions can play in shaping ecosystems.",," review","Shawn","Included",,,,,
"rayyan-811287097","Pumas' fear of humans precipitates changes in plant architecture",2021,"ECOSPHERE","Yovovich, V and Thomsen, M and Wilmers, CC","English","[""Univ Calif Santa Cruz, Ctr Integrated Spatial Res, Environm Studies Dept, 1156 High St, Santa Cruz, CA 95064 USA"", ""Univ Calif Berkeley, Dept Environm Sci Policy & Management, 145 Mulford Hall, Berkeley, CA 94720 USA"", ""Univ Wisconsin, Biol Dept, 1725 State St, La Crosse, WI 54601 USA"", ""Univ Wisconsin, River Studies Ctr, 1725 State St, La Crosse, WI 54601 USA     FU  - California Department of Fish and Wildlife; National Science FoundationNational Science Foundation (NSF) [1255913, 0963022]; Gordon and Betty Moore FoundationGordon and Betty Moore Foundation; American Museum of Natural History; University of Wisconsin-La Crosse; UC Santa Cruz Environmental Studies Department     FX  - We thank the California Department of Fish and Wildlife for their support of funding and staff; B. Nickel and A. Cole for their counsel on spatial analyses; J. Velzy, D. Polk, and M. Dillingham for greenhouse help; C. Wylie and D. Tichenor for puma capture support; the Santa Cruz Puma Project staff and interns for help collecting and processing data; the many land owners who allowed us access to their property; T. Pearce for help in the field, laboratory, and beyond; and the National Science Foundation grants #1255913 and #0963022, the Gordon and Betty Moore Foundation, the American Museum of Natural History, the University of Wisconsin-La Crosse, and the UC Santa Cruz Environmental Studies Department for their generous funding.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Fear of predation can elicit strong behavioral responses from prey, with impacts that cascade through food chains. While this indirect effect of natural predators on ecosystems is becoming better understood, far less is known about how humans-the world's most ubiquitous super-predator-influence subsequent trophic levels through changes in carnivore habitat use and behavior. Here, we combined puma GPS tracking data with field experiments to understand the extent to which anthropogenic development has cascading impacts from pumas to plants. We examined spatial patterns in puma feeding sites and found that pumas preferentially kill deer away (>340 m) from human development. This aversion appears to create refugia for deer, as deer more than doubled their relative activity near (<70 m) human development. In addition, deer more than quadrupled their consumption of woody vegetation at low-risk sites close to humans relative to comparable high-risk sites far from humans and consumed a greater percent of the forage available in sites near humans than in comparable sites farther away. Increased browsing by deer in near human, or low-risk, sites induced woody plants to become bushier (by removing apical dominance) than those away from humans, or high-risk sites. The cascading interactions from pumas avoiding people to changes in plant architecture appear to have increased available food to deer (i.e., bushier plants have more available branch ends providing potential bites of food than less bushy individuals) and may have other, as yet undocumented, ecological effects.",," data,cascade","Shawn","Included","development gradient","none","plant composition, foraging behavior, space use","puma, deer",
"rayyan-811287100","Habitat use under predation risk: hunting, roads and human dwellings influence the spatial behaviour of roe deer",2013,"EUROPEAN JOURNAL OF WILDLIFE RESEARCH","Bonnot, N and Morellet, N and Verheyden, H and Cargnelutti, B and Lourtet, B and Klein, F and Hewison, AJM","English","[""INRA, CS 52627, Comportement & Ecol Faune Sauvage UR35, F-31326 Castanet Tolosan, France"", ""CNERA Cervides Sanglier, ONCFS, F-55000 Bar Le Duc, France     PU  - SPRINGER     PI  - NEW YORK     PA  - ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES""]","Wildlife populations are subjected to increasing pressure linked to human activities, which introduce multiple stressors. Recently, in addition to direct effects, it has been shown that indirect (non-lethal) effects of predation risk are predominant in many populations. Predation risk is often structured in space and time, generating a heterogeneous ""landscape of fear"" within which animals can minimize risks by modifying their habitat use. Furthermore, for ungulates, resource quality seems to be positively correlated with human-related sources of risk. We studied the trade-off between access to resources of high-quality and risk-taking by contrasting habitat use of roe deer during daytime with that during nighttime for 94 roe deer in a hunted population. Our first hypothesis was that roe deer should avoid human disturbance by modifying their habitat use during daytime compared to nighttime. Our results supported this, as roe deer mainly used open fields during nighttime, but used more forested habitats during daytime, when human disturbance is higher. Moreover, we found that diel patterns in habitat use were influenced by hunting disturbance. Indeed, the roe deer decreased their use of high-crops during daytime, an important source of cover and food, during the hunting season. The proximity of roads and dwellings also affected habitat use, since roe deer used open fields during daytime to a greater extent when the distance to these sources of disturbance was higher. Hence, our results suggest that roe deer resolve the trade-off between the acquisition of high-quality resources and risk avoidance by modifying their habitat use between day and night.",," data","Shawn","Included","development gradient","none","space use, activity time","roe deer",
"rayyan-811287102","Behavioral Correlations Associated with Fear of Humans Differ between Rural and Urban Burrowing Owls",2017,"FRONTIERS IN ECOLOGY AND EVOLUTION","Carrete, M and Tella, JL","English","[""Univ Pablo de Olavide, Dept Phys Chem & Nat Syst, Seville, Spain"", ""CSIC, Dept Conservat Biol, Estac Biol Donana, Seville, Spain     FU  - Canal Sur TV; MINECO (Spain) [RYC-2009-04860, CGL2012-31888, CGL2015-71378-P]; Fundacion Repsol     FX  - M. Santillan helped with field work. Field work was conducted under permits from Argentinean wildlife agencies and the owners of private properties, and was funded by Canal Sur TV, Fundacion Repsol and Projects RYC-2009-04860, CGL2012-31888 and CGL2015-71378-P from MINECO (Spain). D. Blumstein and an reviewer greatly helped to improve the paper.     PU  - FRONTIERS MEDIA SA     PI  - LAUSANNE     PA  - AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND""]","Behavioral studies are fundamental to understanding how animal populations face global change. Although much research has centered upon the idea that individuals can adaptively modify their behaviors to cope with environmental changes, recent evidence supports the existence of individual differences in suites of correlated behaviors. However, little is known about how selection can change these behavioral structures in populations subject to different environmental constraints. The colonization of urban environments by birds has been related to their inter-individual variability in their fear of humans, measured as their flight initiation distance to an approaching human, such that urban life would select for fearless individuals. This behavior has been demonstrated to be heritable and highly consistent throughout the adult lifespan of burrowing owls (Athene cunicularia). Here, we experimentally assessed, in field conditions, whether urban life involves changes in other behaviors such as exploration and antipredatory response through their correlation with fear of humans. Breeding urban birds were more fearless toward humans and were quicker to explore a new food resource and defend their nests from predators than their rural counterparts. However, while fear of humans positively correlated with exploration and antipredatory response in the rural population, it only correlated with exploration in the urban one. Predator release in urban environments could relax- and even counterselect-antipredator behaviors, thus dismantling the behavioral correlation existent in natural populations. Altogether, our results suggest that rural and urban animals may differ in some behavioral aspects, may be as a consequence of the selection processes acting during the colonization of urban areas as well as the different ecological environments encountered by individuals.",," data","Shawn","Included","urban habitat","rural habitat","anti-predator behavior, foraging behavior","burrowing owl",
"rayyan-811287106","Fear and stressing in predator prey ecology: considering the twin stressors of predators and people on mammals",2020,"PEERJ","Fardell, LL and Pavey, CR and Dickman, CR","English","[""Univ Sydney, Sch Life & Environm Sci, Sydney, NSW, Australia"", ""CSIRO, Land & Water, Winnellie, NT, Australia     FU  - Holsworth Wildlife Research Endowment     FX  - This work was supported by a Holsworth Wildlife Research Endowment. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.     PU  - PEERJ INC     PI  - LONDON     PA  - 341-345 OLD ST, THIRD FLR, LONDON, EC1V 9LL, ENGLAND""]","Predators induce stress in prey and can have beneficial effects in ecosystems, but can also have negative effects on biodiversity if they are overabundant or have been introduced. The growth of human populations is, at the same time, causing degradation of natural habitats and increasing interaction rates of humans with wildlife, such that conservation management routinely considers the effects of human disturbance as tantamount to or surpassing those of predators. The need to simultaneously manage both of these threats is particularly acute in urban areas that are, increasingly, being recognized as global hotspots of wildlife activity. Pressures from altered predator-prey interactions and human activity may each initiate fear responses in prey species above those that are triggered by natural stressors in ecosystems. If fear responses are experienced by prey at elevated levels, on top of responses to multiple environmental stressors, chronic stress impacts may occur. Despite common knowledge of the negative effects of stress, however, it is rare that stress management is considered in conservation, except in intensive ex situ situations such as in captive breeding facilities or zoos. We propose that mitigation of stress impacts on wildlife is crucial for preserving biodiversity, especially as the value of habitats within urban areas increases. As such, we highlight the need for future studies to consider fear and stress in predator-prey ecology to preserve both biodiversity and ecosystem functioning, especially in areas where human disturbance occurs. We suggest, in particular, that non-invasive in situ investigations of endocrinology and ethology be partnered in conservation planning with surveys of habitat resources to incorporate and reduce the effects of fear and stress on wildlife.",," applied,concept","Shawn","Included",,,,,
"rayyan-811287108","""Ecology of fear"" in ungulates: Opportunities for improving conservation",2022,"ECOLOGY AND EVOLUTION","Chitwood, MC and Baruzzi, C and Lashley, MA","English","[""Oklahoma State Univ, Dept Nat Resource Ecol & Management, Stillwater, OK 74078 USA"", ""Mississippi State Univ, Dept Wildlife Fisheries & Aquaculture, Starkville, MS USA"", ""Univ Florida, Sch Forest Fisheries & Geomat Sci, Gainesville, FL USA"", ""Univ Florida, Dept Wildlife Ecol & Conservat, Gainesville, FL USA     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Because ungulates are important contributors to ecosystem function, understanding the ""ecology of fear"" could be important to the conservation of ecosystems. Although studying ungulate ecology of fear is common, knowledge from ungulate systems is highly contested among ecologists. Here, we review the available literature on the ecology of fear in ungulates to generalize our current knowledge and how we can leverage it for conservation. Four general focus areas emerged from the 275 papers included in our literature search (and some papers were included in multiple categories): behavioral responses to predation risk (79%), physiological responses to predation risk (15%), trophic cascades resulting from ungulate responses to predation risk (20%), and manipulation of predation risk (1%). Of papers focused on behavior, 75% were about movement and habitat selection. Studies were biased toward North America (53%), tended to be focused on elk (Cervus canadensis; 29%), and were dominated by gray wolves (40%) or humans (39%) as predators of interest. Emerging literature suggests that we can utilize predation risk for conservation with top-down (i.e., increasing predation risk) and bottom-up (i.e., manipulating landscape characteristics to increase risk or risk perception) approaches. It is less clear whether fear-related changes in physiology have population-level fitness consequences or cascading effects, which could be fruitful avenues for future research. Conflicting evidence of trait-mediated trophic cascades might be improved with better replication across systems and accounting for confounding effects of ungulate density. Improving our understanding of mechanisms modulating the nature of trophic cascades likely is most important to ensure desirable conservation outcomes. We recommend future work embrace the complexity of natural systems by attempting to link together the focal areas of study identified herein.",," review","Shawn","Included",,,,,
