Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Proudman, NJ; Churski, M; Bubnicki, JW; Nilsson, JA; Kuijper, DPJ",,,,"Proudman, Nathan J.; Churski, Marcin; Bubnicki, Jakub W.; Nilsson, Jan-Ake; Kuijper, Dries P. J.",,,Red deer allocate vigilance differently in response to spatio-temporal patterns of risk from human hunters and wolves,WILDLIFE RESEARCH,,,English,Article,,,,,,behaviour; ecology; modelling; predator-prey interactions; statistical modelling; wildlife management; stress response; natural resource management; ethology,BIALOWIEZA PRIMEVAL FOREST; YELLOWSTONE-NATIONAL-PARK; EUROPEAN ROE DEER; PREDATION RISK; BEHAVIORAL-RESPONSES; GROUP-SIZE; ANTIPREDATOR RESPONSE; CAPREOLUS-CAPREOLUS; TEMPORAL VARIATION; HABITAT SELECTION,"Context. Ungulate prey can use increased vigilance to reduce their risk of predation, but little is known of the combined and interactive risk effects from humans and wolves in determining ungulate behaviour across time and space. Understanding the interplay between these risk effects is increasingly important, considering the recolonisation of several large carnivores to more human-dominated landscapes in Europe. Aim. The aim of the present study was to assess the vigilance behaviour expressed by red deer (Cervus elaphus) in response to both humans and wolves in the Polish Bialowiez. a Forest. Methods. Using a camera-trap transect, the effect of distance to human settlements, hunting season, patterns of space use by wolves (Canis lupus), canopy openness, canopy height, time of day, as well as sex/age of individuals, on the vigilance behaviour observed in red deer was studied using a model-selection approach. Key results. We did not find a clear effect of patterns of space use by wolves or distance to human settlements on red deer vigilance behaviour at the landscape scale. However, red deer showed increased vigilance during the hunting season and during the day outside of protected areas and reserves, because disturbance from human hunters is highest. Conversely, we also found that red deer were more vigilant at night within more protected areas, which is likely to be explained by the increased activity of wolves because human activity is strictly limited. Conclusions. Our study showed that vigilance behaviour of red deer in Bialowiez. a Primeval Forest is more driven by human hunting than by the frequency of wolf presence at a landscape scale. This could be explained by the higher temporal and spatial predictability of human hunting activities than wolf risk. We found that patterns of wolf space use, as opposed to the omnipresent fear effects from humans, had only localised effects by increasing vigilance levels during night hours in non-hunting areas of the forest. The reverse was observed outside of protected reserves. Understanding how prey species respond to this new combination of risk from natural predators and humans, is increasingly important in a landscape where human risk is becoming ever more potent and carnivores recolonise.",,,,,,,,,,,,,,,,,,,,,,,,2021,48,2,,,,,163,174,,10.1071/WR20059,,NOV 2020,,,,Environmental Sciences & Ecology; Zoology,,,,,,,2022-04-02,
J,"Le Saout, S; Padie, S; Chamaille-Jammes, S; Chollet, S; Cote, S; Morellet, N; Pattison, J; Harris, E; Martin, JL",,,,"Le Saout, Soizic; Padie, Sophie; Chamaille-Jammes, Simon; Chollet, Simon; Cote, Steve; Morellet, Nicolas; Pattison, Jake; Harris, Erin; Martin, Jean-Louis",,,Short-term effects of hunting on naive black-tailed deer (Odocoileus hemionus sitkensis): behavioural response and consequences on vegetation growth,CANADIAN JOURNAL OF ZOOLOGY,,,English,Article,,,,,,ecology of fear; trophic cascade; predation risk; black-tailed deer; Odocoileus hemionus sitkensis,PREDATION RISK; OVERABUNDANT DEER; HUMAN DISTURBANCE; NATURAL EXPERIMENT; PLANT-COMMUNITIES; TROPHIC CASCADE; NATIONAL-PARK; ELK; WOLVES; HABITAT,"Hunting is commonly used to reduce overabundant deer populations that are of socioeconomic and ecological concerns. Recently, it has been suggested that hunting for fear might help maximize nonconsumptive effects of hunting and their cascading impacts. We investigated how a predator-free black-tailed deer (Odocoileus hemionus sitkensis Merriam, 1898) population introduced to the Haida Gwaii archipelago (Canada) responded to short-term hunting for fear. We conducted a hunt that minimized killing and maximized scaring on an island where some deer were marked. Between control and hunted sites, we compared deer use of bait stations and of shoreline areas (i.e., an open and risky area that provided marine subsidies). We also compared the browsing pressure and growth of two grasses and two shrubs. Hunting for fear had no effect on the overall use of bait stations and shorelines. However, in the area exposed to hunting, unmarked deer, which were assumed to be less tolerant of human disturbance, avoided bait stations at the outset of hunting. We concluded that individuals perceive and respond to risk differently. Furthermore, two of the four plant species were less likely to be browsed and had better growth in the experimental area than in the control area, suggesting an indirect effect of hunting on plants mediated by deer behaviour.",,,,,,,,,,,,,,,,,,,,,,,NOV,2014,92,11,,,,,915,925,,10.1139/cjz-2014-0122,,,,,,Zoology,,,,,,,2022-04-02,
J,"Mobbs, D",,,,"Mobbs, Dean",,,The ethological deconstruction of fear(s),CURRENT OPINION IN BEHAVIORAL SCIENCES,,,English,Review,,,,,,,RISK; PREDATION; BEHAVIOR; ANXIETY,"The natural world presents a myriad of dangers that can threaten an organism's survival. This diversity of threats is matched by a set of universal and species specific defensive behaviors which are often subsumed under the emotions of fear and anxiety. A major issue in the field of affective science, however, is that these emotions are often conflated and scientists fail to reflect the ecological conditions that gave rise to them. I attempt to clarify these semantic issues by describing the link between ethologically defined defensive strategies and fear. This in turn, provides a clearer differentiation between fears, the contexts that evoke them and how they are organized within defensive survival circuits.",,,,,,,,,,,,,,,,,,,,,,,DEC,2018,24,,,,,,32,37,,10.1016/j.cobeha.2018.02.008,,,,,,Behavioral Sciences; Neurosciences & Neurology; Psychology,,,,,,,2022-04-02,
J,"Atickem, A; Loe, LE; Stenseth, NC",,,,"Atickem, Anagaw; Loe, Leif Egil; Stenseth, Nils Chr",,,Individual Heterogeneity in Use of Human Shields by Mountain Nyala,ETHOLOGY,,,English,Article,,,,,,predation; ungulates; landscape of fear; antipredator strategies; Human-wildlife interactions,LARGE CARNIVORES; PREDATION RISK; BEHAVIORAL-RESPONSES; LIVESTOCK PREDATION; HABITAT SELECTION; BALE MOUNTAINS; NATIONAL-PARK; TRADE-OFFS; PREY; ELK,"The human shield hypothesis' describes the situation where prey species use humans as shield from natural predation. We tested the human shield hypothesis in a population of mountain nyala (Tragelaphus buxtoni) subjected to predation from the nocturnal spotted hyena (Crocuta Crocuta) in the Bale Mountains National Park, Ethiopia by radio-marking 15 mountain nyala (seven females and eight males) and tracking them for up to 2yr. Occurrence of hyena estimated by faecal transects decreased close to human settlements substantiating the occurrence of a zone with lower risk of hyena predation. The diurnal pattern in the average distance between mountain nyala relocations and human settlements was consistent with the human shield hypothesis with significantly shorter distances during night (when exposed to predation) than during day. However, mountain nyala showed large individual heterogeneity in use of human shields. While nearly all individuals occasionally moved out of the park to human settlements during night, the frequency of such excursions varied from 0% to 71%. The excursions occurred year-round and were not driven by seasonal access to crops. We have previously demonstrated a strong negative effect of humans on the large-scale distribution pattern of mountain nyala. The use of human shield documented here is indicative of a positive small-scale effect of humans. Our study thus supports the view that the effect of human-wildlife interactions can be scale-dependent.",,,,,,,,,,,,,,,,,,,,,,,JUL,2014,120,7,,,,,715,725,,10.1111/eth.12242,,,,,,Psychology; Behavioral Sciences; Zoology,,,,,,,2022-04-02,
J,"Diserens, TA; Bubnicki, JW; Schutgens, E; Rokx, K; Kowalczyk, R; Kuijper, DPJ; Churski, M",,,,"Diserens, T. A.; Bubnicki, J. W.; Schutgens, E.; Rokx, K.; Kowalczyk, R.; Kuijper, D. P. J.; Churski, M.",,,Fossoriality in a risky landscape: badger sett use varies with perceived wolf risk,JOURNAL OF ZOOLOGY,,,English,Article,,,,,,landscape of fear; grey wolf; perceived risk; European badger; fossorial species; Meles meles; camera traps; anti-predator strategies,BIALOWIEZA-PRIMEVAL-FOREST; MELES-MELES; NYCTEREUTES-PROCYONOIDES; SPATIAL-ORGANIZATION; CANIS-LUPUS; WOLVES; POLAND; FEAR; CARNIVORES; PREDATION,"Many medium-sized carnivores are fossorial and use burrow systems to reduce predation risk or avoid predators. But fossorial species cannot stay safely underground forever, and they must also risk emerging overground, to forage and find mates. To make this trade-off effectively and maximize their own fitness, it is imperative they assess how predation risk varies in space and time, and adapt their denning behaviour accordingly. We used European badger (Meles meles) burrows (setts) in Bialowie(z) over dota Forest, Poland as a model for investigating how the denning behaviour of a fossorial mesocarnivore varies across gradients of landscape scale perceived risk imposed by wolves (Canis lupus) and humans, defined as wolf space use and distance to settlements, respectively. We monitored seventeen setts with varying levels of perceived human and wolf risk with camera traps for two months to study three denning behaviours: frequency of badger sett use, frequency of badger sett sharing with other mesocarnivore species and badger emergence time. Frequency of sett use varied relative to perceived wolf but not human risk. Setts in the highest risk areas were used ca. 60% less often than those in the lowest perceived risk areas, and setts with juveniles were only present in areas of lower perceived risk. Food availability, quantified as earthworm abundance in an area of 2.1 km(2)around setts, did not affect the frequency setts were used. Emergence time and frequency of sett sharing with other mesocarnivores, which have been proposed to be anti-predator strategies, did not vary with either perceived risk factor. These results show fossorial species can adapt their use of burrows to the prevailing risk landscape and suggest burrows deserve more attention in studies on the ecological impacts of apex predators.",,,,,,,,,,,,,,,,,,,,,,,JAN,2021,313,1,,,,,76,85,,10.1111/jzo.12835,,OCT 2020,,,,Zoology,,,,,,,2022-04-02,
J,"Wang, YB; Cao, LQ; Lee, CY; Matsuo, T; Wu, KJ; Asher, G; Tang, LJ; Saitoh, T; Russell, J; Klewe-Nebenius, D; Wang, L; Soya, SG; Hasegawa, E; Cherasse, Y; Zhou, JM; Li, YWB; Wang, T; Zhan, XW; Miyoshi, C; Irukayama, Y; Cao, J; Meeks, JP; Gautron, L; Wang, ZQ; Sakurai, K; Funato, H; Sakurai, T; Yanagisawa, M; Nagase, H; Kobayakawa, R; Kobayakawa, K; Beutler, B; Liu, QH",,,,"Wang, Yibing; Cao, Liqin; Lee, Chia-Ying; Matsuo, Tomohiko; Wu, Kejia; Asher, Greg; Tang, Lijun; Saitoh, Tsuyoshi; Russell, Jamie; Klewe-Nebenius, Daniela; Wang, Li; Soya, Shingo; Hasegawa, Emi; Cherasse, Yoan; Zhou, Jiamin; Li, Yuwenbin; Wang, Tao; Zhan, Xiaowei; Miyoshi, Chika; Irukayama, Yoko; Cao, Jie; Meeks, Julian P.; Gautron, Laurent; Wang, Zhiqiang; Sakurai, Katsuyasu; Funato, Hiromasa; Sakurai, Takeshi; Yanagisawa, Masashi; Nagase, Hiroshi; Kobayakawa, Reiko; Kobayakawa, Ko; Beutler, Bruce; Liu, Qinghua",,,Large-scale forward genetics screening identifies Trpa1 as a chemosensor for predator odor-evoked innate fear behaviors,NATURE COMMUNICATIONS,,,English,Article,,,,,,,DEFENSIVE BEHAVIORS; MEDIATE INNATE; FOX ODOR; MOUSE; PAIN; RESPONSES; CHANNELS; CIRCUITS; AMYGDALA; NEURONS,"Innate behaviors are genetically encoded, but their underlying molecular mechanisms remain largely unknown. Predator odor 2,4,5-trimethyl-3-thiazoline (TMT) and its potent analog 2-methyl-2-thiazoline (2MT) are believed to activate specific odorant receptors to elicit innate fear/defensive behaviors in naive mice. Here, we conduct a large-scale recessive genetics screen of ethylnitrosourea (ENU)-mutagenized mice. We find that loss of Trpal, a pungency/irritancy receptor, diminishes TMT/2MT and snake skin-evoked innate fear/defensive responses. Accordingly, Trpal(-/-) mice fail to effectively activate known fear/stress brain centers upon 2MT exposure, despite their apparent ability to smell and learn to fear 2MT. Moreover, Trpal acts as a chemosensor for 2MT/TMT and Trpal-expressing trigeminal ganglion neurons contribute critically to 2MT-evoked freezing. Our results indicate that Trpal-mediated nociception plays a crucial role in predator odor-evoked innate fear/defensive behaviors. The work establishes the first forward genetics screen to uncover the molecular mechanism of innate fear, a basic emotion and evolutionarily conserved survival mechanism.",,,,,,,,,,,,,,,,,,,,,,,MAY 23,2018,9,,,,,,,,2041,10.1038/s41467-018-04324-3,,,,,,Science & Technology - Other Topics,,,,,,,2022-04-02,
J,"Januchowski-Hartley, FA; Graham, NAJ; Feary, DA; Morove, T; Cinner, JE",,,,"Januchowski-Hartley, Fraser A.; Graham, Nicholas A. J.; Feary, David A.; Morove, Tau; Cinner, Joshua E.",,,Fear of Fishers: Human Predation Explains Behavioral Changes in Coral Reef Fishes,PLOS ONE,,,English,Article,,,,,,,FLIGHT-INITIATION DISTANCE; KILLIFISH FUNDULUS-DIAPHANUS; TAKE MARINE RESERVES; PAPUA-NEW-GUINEA; ANTIPREDATOR BEHAVIOR; POECILIA-RETICULATA; ESCAPE RESPONSE; FORAGING BEHAVIOR; PREY CHOICE; RISK,"Prey flight decisions in response to predation risk are increasingly being considered in conservation and management decisions in the terrestrial realm, but are rarely considered in marine systems. This field-based study investigated how the behavioral response of coral reef fish families varied along a gradient of subsistence fishing pressure in Papua New Guinea. Specifically, we examined how fishing pressure was related to pre-flight behavior and flight initiation distance (FID), and whether FID was influenced by body size (centimeters total length), group size (including both con-and hetero-specific individuals), or life-history phase. Fishing pressure was positively associated with higher FID, but only in families that were primarily targeted by spear guns. Among these families, there were variable responses in FID; some families showed increased FID monotonically with fishing pressure, while others showed increased FID only at the highest levels of fishing pressure. Body size was more significant in varying FID at higher levels of fishing pressure. Although family-level differences in pre-flight behavior were reported, such behavior showed low concordance with fishing pressure. FID shows promise as a tool by which compliance and effectiveness of management of reef fisheries can be assessed.",,,,,,,,,,,,,,,,,,,,,,,AUG 10,2011,6,8,,,,,,,e22761,10.1371/journal.pone.0022761,,,,,,Science & Technology - Other Topics,,,,,,,2022-04-02,
J,"Broekhuis, F; Cozzi, G; Valeix, M; McNutt, JW; Macdonald, DW",,,,"Broekhuis, Femke; Cozzi, Gabriele; Valeix, Marion; McNutt, John W.; Macdonald, David W.",,,Risk avoidance in sympatric large carnivores: reactive or predictive?,JOURNAL OF ANIMAL ECOLOGY,,,English,Article,,,,,,African carnivores; avoidance behaviour; ecology of fear; intraguild coexistence; landscape of risk,YELLOWSTONE-NATIONAL-PARK; HUMAN-DOMINATED LANDSCAPE; CHEETAH ACINONYX-JUBATUS; AFRICAN WILD DOGS; HABITAT SELECTION; PREDATION RISK; BEHAVIORAL-ADJUSTMENTS; ALLOCATION HYPOTHESIS; ANTIPREDATOR RESPONSE; FEEDING ECOLOGY,"1. Risks of predation or interference competition are major factors shaping the distribution of species. An animal's response to risk can either be reactive, to an immediate risk, or predictive, based on preceding risk or past experiences. The manner in which animals respond to risk is key in understanding avoidance, and hence coexistence, between interacting species. 2. We investigated whether cheetahs (Acinonyx jubatus), known to be affected by predation and competition by lions (Panthera leo) and spotted hyaenas (Crocuta crocuta), respond reactively or predictively to the risks posed by these larger carnivores. 3. We used simultaneous spatial data from Global Positioning System (GPS) radiocollars deployed on all known social groups of cheetahs, lions and spotted hyaenas within a 2700 km(2) study area on the periphery of the Okavango Delta in northern Botswana. The response to risk of encountering lions and spotted hyaenas was explored on three levels: short-term or immediate risk, calculated as the distance to the nearest (contemporaneous) lion or spotted hyaena, long-term risk, calculated as the likelihood of encountering lions and spotted hyaenas based on their cumulative distributions over a 6-month period and habitat-associated risk, quantified by the habitat used by each of the three species. 4. We showed that space and habitat use by cheetahs was similar to that of lions and, to a lesser extent, spotted hyaenas. However, cheetahs avoided immediate risks by positioning themselves further from lions and spotted hyaenas than predicted by a random distribution. 5. Our results suggest that cheetah spatial distribution is a hierarchical process, first driven by resource acquisition and thereafter fine-tuned by predator avoidance; thus suggesting a reactive, rather than a predictive, response to risk.",,,,,,,,,,,,,,,,,,,,,,,SEP,2013,82,5,,,,,1097,1105,,10.1111/1365-2656.12077,,,,,,Environmental Sciences & Ecology; Zoology,,,,,,,2022-04-02,
J,"Ciuti, S; Northrup, JM; Muhly, TB; Simi, S; Musiani, M; Pitt, JA; Boyce, MS",,,,"Ciuti, Simone; Northrup, Joseph M.; Muhly, Tyler B.; Simi, Silvia; Musiani, Marco; Pitt, Justin A.; Boyce, Mark S.",,,Effects of Humans on Behaviour of Wildlife Exceed Those of Natural Predators in a Landscape of Fear,PLOS ONE,,,English,Article,,,,,,,WINTER HABITAT SELECTION; NORTH-AMERICAN ELK; MULE DEER; MODEL SELECTION; ANTIPREDATOR RESPONSE; MULTIMODEL INFERENCE; VIGILANCE BEHAVIOR; HUMAN DISTURBANCE; TROPHIC CASCADES; RISK,"Background: Human disturbance can influence wildlife behaviour, which can have implications for wildlife populations. For example, wildlife may be more vigilant near human disturbance, resulting in decreased forage intake and reduced reproductive success. We measured the effects of human activities compared to predator and other environmental factors on the behaviour of elk (Cervus elaphus Linnaeus 1758) in a human-dominated landscape in Alberta, Canada. Methodology/Principal Findings: We collected year-round behavioural data of elk across a range of human disturbances. We estimated linear mixed models of elk behaviour and found that human factors (land-use type, traffic and distance from roads) and elk herd size accounted for more than 80% of variability in elk vigilance. Elk decreased their feeding time when closer to roads, and road traffic volumes of at least 1 vehicle every 2 hours induced elk to switch into a more vigilant behavioural mode with a subsequent loss in feeding time. Other environmental factors, thought crucial in shaping vigilance behaviour in elk (natural predators, reproductive status of females), were not important. The highest levels of vigilance were recorded on public lands where hunting and motorized recreational activities were cumulative compared to the national park during summer, which had the lowest levels of vigilance. Conclusions/Significance: In a human-dominated landscape, effects of human disturbance on elk behaviour exceed those of habitat and natural predators. Humans trigger increased vigilance and decreased foraging in elk. However, it is not just the number of people but also the type of human activity that influences elk behaviour (e.g. hiking vs. hunting). Quantifying the actual fitness costs of human disturbance remains a challenge in field studies but should be a primary focus for future researches. Some species are much more likely to be disturbed by humans than by non-human predators: for these species, quantifying human disturbance may be the highest priority for conservation.",,,,,,,,,,,,,,,,,,,,,,,NOV 28,2012,7,11,,,,,,,e50611,10.1371/journal.pone.0050611,,,,,,Science & Technology - Other Topics,,,,,,,2022-04-02,
J,"Hayward, MW; Ortmann, S; Kowalczyk, R",,,,"Hayward, Matt W.; Ortmann, Sylvia; Kowalczyk, Rafa",,,Risk perception by endangered European bison Bison bonasus is context (condition) dependent,LANDSCAPE ECOLOGY,,,English,Article,,,,,,Giving-up density; Forage quality; Landscape of fear; Marginal value theorem; Optimal foraging theory; Resource selection; Predation risk,PREDATION RISK; PATCH USE; FORAGING BEHAVIOR; ENERGY GAINS; HABITAT USE; INFORMATION; MATURITY; QUALITY; FOREST; PREFERENCE,"Patch use can illustrate the contributions that forage quality and foraging risk make in shaping foraging decisions made under the risk of being killed. We aimed to determine whether forage selection by European bison Bison bonasus was state-dependent in being shaped by risk (wolf predation or human poaching/culling avoidance) or nutrient quality at two time periods-early winter (when resources are abundant) and at the end of winter (when resources are scarce)-in BiaowieA1/4a Primeval Forest (Poland). We used a giving-up density framework using the proportional consumption of hay provided by humans to measure the perceptions of risk in European bison. European bison resource selection was primarily driven by minimising the distance they travel over open ground in early winter (i.e. avoiding humans), however by the end of winter, when resources are scarce, bison selected haystacks for their nutrient quality (low fibre, high Mg and energy). This study illustrates how resource selection varies according to the condition of animals (i.e. state-dependency affects the marginal value theorem). It also indicates conservation managers using hay quality may actively manage human-bison conflicts in trouble spots and that bison are currently free from top-down limitation in BiaowieA1/4a as they do not perceive wolves as threatening enough to alter their foraging behaviour.",,,,,,,,,,,,,,,,,,,,,,,DEC,2015,30,10,,,,,2079,2093,,10.1007/s10980-015-0232-2,,,,,,Environmental Sciences & Ecology; Physical Geography; Geology,,,,,,,2022-04-02,
J,"Sarmento, WM; Berger, J",,,,"Sarmento, Wesley M.; Berger, Joel",,,Human visitation limits the utility of protected areas as ecological baselines,BIOLOGICAL CONSERVATION,,,English,Article,,,,,,Habituation; Fear; Human-mediated predation refugia; Predator-prey; Migratory; Human-wildlife conflict,MOUNTAIN GOATS; HUMAN SHIELDS; TOURISM; SELECTION; PATTERNS; BEARS; MIGRATION; WILDLIFE; BEHAVIOR; RISK,"A key goal of protected areas is the conservation of biodiversity. Increasing visitation, however, can compromise ecological integrity. A fundamental conundrum is that if parks are to serve as our most pristine places, then we must understand how human presence alters biological interactions. Species that redistribute themselves closer to people is of growing management concern both in and out of national parks because of 1) human safety, 2) animal health, and 3) ecological consequences. Drivers of distributional change are often dissimilar but may include increased association with people for predator avoidance - the human shield hypothesis. We examine redistribution patterns with comparative, observational, and experimental approaches contrasting ecological responses of an iconic species in an USA national park - Glacier. Specifically, we focused on the role of predator-avoidance and resource enhancement to test whether a cold-adapted alpine obligate, mountain goats, (Oreamnos americanus), mediate their distribution by increasing spatial overlap with humans. Individuals that enhanced mineral acquisition through access to human urine concomitantly reduced behavioral and ecological responses to grizzly bear (Ursus arctos hornbilis) experiments. Goats near people also displayed reduced group sizes, vigilance, use of escape terrain, and forfeited migrations to naturally occurring minerals. Our findings re-enforce the increasing complexities of natural area management because visitation is altering ecological interactions. While protected areas offer some forms of baselines for scientists and enjoyment for millions of visitors, redistribution of species and associated ecological changes signifies that additional care will be needed in what we perceive as pristine and what is anthropogenically-altered.",,,,,,,,,,,,,,,,,,,,,,,AUG,2017,212,,A,,,,316,326,,10.1016/j.biocon.2017.06.032,,,,,,Biodiversity & Conservation; Environmental Sciences & Ecology,,,,,,,2022-04-02,
J,"Crane, AL; Ferrari, MCO",,,,"Crane, Adam L.; Ferrari, Maud C. O.",,,Learning of safety by a social fish: applications for studying post-traumatic stress in humans,ANIMAL BEHAVIOUR,,,English,Article,,,,,,fear; model therapy; neophobia; secondary traumatization; stereotypy,OF-VETERANS-AFFAIRS; GROUP-THERAPY; PREDATOR RECOGNITION; ANIMAL-MODELS; SECONDARY TRAUMATIZATION; VICARIOUS TRAUMATIZATION; PAIN PERCEPTION; ZEBRAFISH; PTSD; ANXIETY,"As animal behaviour theory has developed over the past 70 years, much attention has gone towards social behaviour. While our basic knowledge of social systems has grown substantially, it has rarely been applied to human issues. Here, we attempted to bridge the gap between animal behaviour theory and human psychology by conducting social experiments involving fish. As in many species, minnows (family: Cyprinidae) repeatedly exposed to risky situations can develop a behavioural phenotype characterized by neophobic tendencies, pacing and stereotypic behaviours. Here, we tested whether the simple presence of calm (or un-calm) conspecific models could lead to a weakening of the high-risk phenotype in minnows that acquired fear either in isolation or within a group. We first documented that the social context of risk exposure impacted the intensity of the high-risk phenotype, with minnows exposed to risk in isolation showing stronger high-risk traits compared to those that were exposed to risk in groups. However, individuals exposed to risk in isolation were more influenced by calm models, despite their more pronounced phenotype. We argue that group exposure led to social reinforcement of risk, which in turn decreased the information transfer about safety in these individuals. We also demonstrate that a group of calm models, and not un-calm models, was required to weaken the high-risk phenotype. These findings highlight the interplay between social reinforcement of risk and safety in social groups and the impact of groups on information transmission. Moreover, our results parallel anecdotal reports of successes or failures of social therapies for post-traumatic stress (PTS) patients based on the social context of symptom acquisition, suggesting that understanding the transfer of information in social animals could prove fruitful in understanding and modelling PTS recovery. (C) 2017 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,OCT,2017,132,,,,,,271,279,,10.1016/j.anbehav.2017.08.026,,,,,,Behavioral Sciences; Zoology,,,,,,,2022-04-02,
J,"Valeix, M; Hemson, G; Loveridge, AJ; Mills, G; Macdonald, DW",,,,"Valeix, Marion; Hemson, Graham; Loveridge, Andrew J.; Mills, Gus; Macdonald, David W.",,,Behavioural adjustments of a large carnivore to access secondary prey in a human-dominated landscape,JOURNAL OF APPLIED ECOLOGY,,,English,Article,,,,,,ecology of fear; human-wildlife conflict; lion; livestock; migration; stock-raiding; wildebeest; zebra,PREDATION RISK; AFRICAN LIONS; HOME RANGES; HABITAT USE; FEAR; PATTERNS; WOLVES; SELECTION; CONFLICT; ECOLOGY,"1. Conflict between people and large carnivores is an urgent conservation issue world-wide. Understanding the underlying ecological drivers of livestock depredation by large carnivores is greatly needed. 2. We studied the spatial, foraging and behavioural ecology of African lions Panthera leo in the Botswana Makgadikgadi ecosystem. This ecosystem comprises a protected area, characterized by high seasonal fluctuation in wild prey abundance, and adjacent lands, which are used for livestock grazing and characterized by stable livestock abundance, but also a risk of anthropogenic mortality. 3. Makgadikgadi lions preferentially preyed upon migratory wild herbivores when they were present; however, data from GPS (Global Positioning System) radiocollared lions revealed that the majority of the study lions did not follow the migratory herds but remained resident at one or other border of the park and switched to livestock (abundant and readily available), and to a lesser extent resident wild herbivores (relatively scarce), in periods of migratory wild herbivore scarcity. 4. Resident lions' use of space differed between periods of wild prey abundance and scarcity. These changes were likely to increase the frequency of encounter with their primary prey in periods of primary prey abundance and with livestock in periods of primary prey scarcity. 5. The risk of conflict with humans was a major driver of lion ecology in the human-dominated landscape surrounding the protected area. Resident lions generally avoided the close vicinity of cattle-posts. When they used such areas, they avoided temporal overlap with periods that humans were most active and travelled at high speed reducing the time spent in these areas. 6. Synthesis and applications. This study suggests that lions balance the benefits of accessing livestock with the costs associated with livestock raiding. Hence, reduction in livestock availability through effective livestock husbandry in periods of wild prey scarcity should lead to reduced conflict.",,,,,,,,,,,,,,,,,,,,,,,FEB,2012,49,1,,,,,73,81,,10.1111/j.1365-2664.2011.02099.x,,,,,,Biodiversity & Conservation; Environmental Sciences & Ecology,,,,,,,2022-04-02,
J,"Haswell, PM; Jones, KA; Kusak, J; Hayward, MW",,,,"Haswell, Peter M.; Jones, Katherine A.; Kusak, Josip; Hayward, Matt W.",,,"Fear, foraging and olfaction: how mesopredators avoid costly interactions with apex predators",OECOLOGIA,,,English,Article,,,,,,Mesopredator release; Risk; Giving-up density; Gray wolf; Red fox,TROPHIC NICHE OVERLAP; VULPES-VULPES L.; RED FOXES; TOP PREDATORS; CANIS-LUPUS; HABITAT USE; PATCH USE; RISK; LANDSCAPE; VIGILANCE,"Where direct killing is rare and niche overlap low, sympatric carnivores may appear to coexist without conflict. Interference interactions, harassment and injury from larger carnivores may still pose a risk to smaller mesopredators. Foraging theory suggests that animals should adjust their behaviour accordingly to optimise foraging efficiency and overall fitness, trading off harvest rate with costs to fitness. The foraging behaviour of red foxes, Vulpes vulpes, was studied with automated cameras and a repeated measures giving-up density (GUD) experiment where olfactory risk cues were manipulated. In Plitvice Lakes National Park, Croatia, red foxes increased GUDs by 34% and quitting harvest rates by 29% in response to wolf urine. In addition to leaving more food behind, foxes also responded to wolf urine by spending less time visiting food patches each day and altering their behaviour in order to compensate for the increased risk when foraging from patches. Thus, red foxes utilised olfaction to assess risk and experienced foraging costs due to the presence of a cue from gray wolves, Canis lupus. This study identifies behavioural mechanisms which may enable competing predators to coexist, and highlights the potential for additional ecosystem service pathways arising from the behaviour of large carnivores. Given the vulnerability of large carnivores to anthropogenic disturbance, a growing human population and intensifying resource consumption, it becomes increasingly important to understand ecological processes so that land can be managed appropriately.",,,,,,,,,,,,,,,,,,,,,,,JUL,2018,187,3,,,,,573,583,,10.1007/s00442-018-4133-3,,,,,,Environmental Sciences & Ecology,,,,,,,2022-04-02,
