"key","title","authors","journal","issn","volume","issue","pages","year","month","day","publisher","location","url","language","notes","abstract"
458,"Temporal scale of habitat selection for large carnivores: Balancing energetics, risk and finding prey","Nisi, Anna C.; Suraci, Justin P.; Ranc, Nathan; Frank, Laurence G.; Oriol-Cotterill, Alayne; Ekwanga, Steven; Williams, Terrie M.; Wilmers, Christopher C.","JOURNAL OF ANIMAL ECOLOGY","0021-8790","91","1",NA,2022,NA,NA,NA,NA,NA,"English",NA,"When navigating heterogeneous landscapes, large carnivores must balance trade-offs between multiple goals, including minimizing energetic expenditure, maintaining access to hunting opportunities and avoiding potential risk from humans. The relative importance of these goals in driving carnivore movement likely changes across temporal scales, but our understanding of these dynamics remains limited. Here we quantified how drivers of movement and habitat selection changed with temporal grain for two large carnivore species living in human-dominated landscapes, providing insights into commonalities in carnivore movement strategies across regions. We used high-resolution GPS collar data and integrated step selection analyses to model movement and habitat selection for African lions Panthera leo in Laikipia, Kenya and pumas Puma concolor in the Santa Cruz Mountains of California across eight temporal grains, ranging from 5 min to 12 hr. Analyses considered landscape covariates that are related to energetics, resource acquisition and anthropogenic risk. For both species, topographic slope, which strongly influences energetic expenditure, drove habitat selection and movement patterns over fine temporal grains but was less important at longer temporal grains. In contrast, avoiding anthropogenic risk during the day, when risk was highest, was consistently important across grains, but the degree to which carnivores relaxed this avoidance at night was strongest for longer term movements. Lions and pumas modified their movement behaviour differently in response to anthropogenic features: lions sped up while near humans at fine temporal grains, while pumas slowed down in more developed areas at coarse temporal grains. Finally, pumas experienced a trade-off between energetically efficient movement and avoiding anthropogenic risk. Temporal grain is an important methodological consideration in habitat selection analyses, as drivers of both movement and habitat selection changed across temporal grain. Additionally, grain-dependent patterns can reflect meaningful behavioural processes, including how fitness-relevant goals influence behaviour over different periods of time. In applying multi-scale analysis to fine-resolution data, we showed that two large carnivore species in very different human-dominated landscapes balanced competing energetic and safety demands in largely similar ways. These commonalities suggest general strategies of landscape use across large carnivore species."
630,"COMPARISON OF EFFECTS OF HUMANS VERSUS WILDLIFE-DETECTOR DOGS","Heaton, Jill S.; Cablk, Mark E.; Nussear, Kenneth E.; Esque, Todd C.; Medica, Philip A.; Sagebiel, John C.; Fracis, S. Steve","SOUTHWESTERN NATURALIST","0038-4909","53","4",NA,2008,NA,NA,NA,NA,NA,"English",NA,"The use of dogs (Canis lupus familiaris) trained to locate wildlife under natural conditions may increase the risk of attracting potential predators or alter behavior of target species. These potentially negative effects become even more problematic when dealing with threatened or endangered species, such as the Mojave Desert tortoise (Copherus agassizii). We addressed three concerns regarding use of dogs trained to locate desert tortoises in the wild. First, we looked at the potential for dogs to attract native and non-native predators to sites at a greater rate than with human visitation alone by comparing presence of predator sign before and after visitation by dogs and by humans. We found no significant difference in predator sign based upon type of surveyor. Second, we looked at the difference in risk of predation to desert tortoises that were located in the wild by humans versus humans with wildlife-detector dogs. Over a 5-week period, during which tortoises were extensively monitored and a subsequent period of 1 year during which tortoises were monitored monthly, there was no predation on, nor sign of predator-inflicted trauma to tortoises initially encountered either by humans or wildlife-detector dogs. Third, we looked at movement patterns of tortoises after encounter by either humans or wildlife-detector dogs. Movement of desert tortoises was not significantly different after being found by a human versus being found by a wildlife-detector dog. Based upon these initial results we conclude that use of trained wildlife-detector dogs to survey for desert tortoises in the wild does not appear to increase attraction of predators, increase risk of predation, or alter movement patterns of desert tortoises more than surveys conducted by humans alone."
27,"Landscape of fear and human-predator coexistence: Applying spatial predator-prey interaction theory to understand and reduce carnivore-livestock conflict","Miller, Jennifer R. B.; Schmitz, Oswald J.","BIOLOGICAL CONSERVATION","0006-3207","236","",NA,2019,NA,NA,NA,NA,NA,"English",NA,"In recent decades the 'landscape of fear' has grown in popularity to become a central consideration in wildlife management, and has even been reconceptualized as the 'landscape of coexistence' for understanding human-wildlife conflicts such as predator attacks on livestock. Yet fear effects are not always the predominant driver of predator-prey interactions. Thus, guiding ecological principles have not been assembled to explain the broader food web interactions that shape the context dependency of carnivore-livestock conflict. We address this gap by developing a conceptual framework as a way to think about the contingencies under which inducing non-consumptive 'fear effects' on predators would be effective to mitigate carnivore-livestock conflict. The framework specifically considers interactions among wildlife (carnivore predators, wild ungulate prey) and humans (people and livestock) in terms of spatial predator-prey assemblages in which the nature of wildlife-human interactions - as either a carnivore-livestock conflict or a coexistence food web - is contingent on the nature of spatial movement and overlap of humans and wildlife across landscapes. Considering human-wildlife interactions within such a spatial food web context can assist in enabling people and wildlife, especially imperiled carnivores, to coexist in human-modified landscapes. The framework offers predictions that should be tested via adaptive management experiments that evaluate whether conflict mitigation solutions aligned with particular spatial human-livestock-carnivore contexts do indeed resolve conflict."
909,"PREDATION RISK AND THE NUMBER OF ADULT MALES IN A PRIMATE GROUP - A COMPARATIVE TEST","VANSCHAIK, CP; HORSTERMANN, M","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","35","4",NA,1994,NA,NA,NA,NA,NA,"English",NA,"The number of adult males in a bisexual primate group is thought to be determined mainly by the defensibility of mating access to the females. However, among primates, small groups sometimes contain several adult males. We evaluate the hypothesis that high predation risk may lead to greater male representation in primate groups, independent of the effect of group size. Male primates are known to be more vigilant than females, and may also be better at detecting potential predators. A comparative test was done using arboreal folivores in three continents, howler monkeys in the Neotropics, colobus monkeys in Africa and langurs in South and Southeast Asia, Howlers and colobus are exposed to predation by large monkey-eating eagles, whereas the langurs are not. We conducted regression analyses on group composition data of single populations and on mean group compositions among populations, and found that the arboreal langurs basically live in groups with only a single adult males whereas groups of howler and colobus monkeys of comparable size have multiple adult males (Fig. 3). Thus, the hypothesis was supported. Several alternative hypotheses do not account for this pattern."
858,"Effects of female reproductive competition on birth rate and reproductive scheduling in a historical human population","Pettay, Jenni E.; Lahdenpera, Mirkka; Rotkirch, Anna; Lummaa, Virpi","BEHAVIORAL ECOLOGY","1045-2249","29","2",NA,2018,NA,NA,NA,NA,NA,"English",NA,"Personality affects response to alarm calls. This study reveals that boldness explains how vigilant chipmunks behave in response to alarm calls, and that vigilance diminishes in response to shyer callers. Chipmunks thus evaluate the personality of callers and discount the danger associated with calls from highly risk-sensitive individuals. Adjusting responsiveness relative to caller reliability improves foraging while reducing the risk of predation.Costly reproductive competition among females is predicted to lead to strategies that reduce these costs, such as reproductive schedules. Simultaneous births of coresident women in human families can reduce their infant survival, but whether such competition also affects overall birth rates and whether females time their pregnancies to avoid simultaneous births remain unknown, despite being key questions for understanding how intrafemale competition affects reproductive strategies. Here, we used detailed parish registers to study female reproductive competition in historical Finnish joint-families, where brothers stayed on their natal farms and sisters married out, and consequently unrelated daughters-in-law often coresided and competed for household resources. We quantified the time-varying effects of having reproductive-aged competitor(s) on a woman's interval from marriage to first childbirth, on age-specific fertility, and on birth scheduling. Contrary to our hypothesis, the presence of one or several potential female competitors did not lead to longer first birth intervals or lower age-specific probability of reproduction. We also found no evidence that women would schedule their reproduction to avoid the real cost of simultaneous births on their offspring mortality risk; age-specific reproductive rates were unaltered by changes in the presence of other infants in the household. These results raise interesting questions regarding the evolution of fertility suppression in social mammals in different contexts, the costs and benefits of extended families for female reproductive success and strategies deployed, and the cultural practices that may help to avoid the negative outcomes of female reproductive competition in human families."
725,"Corridors or risk? Movement along, and use of, linear features varies predictably among large mammal predator and prey species","Dickie, Melanie; McNay, Scott R.; Sutherland, Glenn D.; Cody, Michael; Avgar, Tal","JOURNAL OF ANIMAL ECOLOGY","0021-8790","89","2",NA,2020,NA,NA,NA,NA,NA,"English",NA,"Space-use behaviour reflects trade-offs in meeting ecological needs and can have consequences for individual survival and population demographics. The mechanisms underlying space use can be understood by simultaneously evaluating habitat selection and movement patterns, and fine-resolution locational data are increasing our ability to do so. We use high-resolution location data and an integrated step-selection analysis to evaluate caribou, moose, bear, and wolf habitat selection and movement behaviour in response to anthropogenic habitat modification, though caribou data were limited. Space-use response to anthropogenic linear features (LFs) by predators and prey is hypothesized to increase predator hunting efficiency and is thus believed to be a leading factor in woodland caribou declines in western Canada. We found that all species moved faster while on LFs. Wolves and bears were also attracted towards LFs, whereas prey species avoided them. Predators and prey responded less strongly and consistently to natural features such as streams, rivers and lakeshores. These findings are consistent with the hypothesis that LFs facilitate predator movement and increase hunting efficiency, while prey perceive such features as risky. Understanding the behavioural mechanisms underlying space-use patterns is important in understanding how future land-use may impact predator-prey interactions. Explicitly linking behaviour to fitness and demography will be important to fully understand the implications of management strategies."
696,"Foraging and Calling Behavior of Carolina chickadees (Poecile carolinensis) in Response to the Head Orientation of Potential Predators","Freeberg, Todd M.; Book, D. L.; Weiner, Rebecca L.","ETHOLOGY","0179-1613","122","1",NA,2016,NA,NA,NA,NA,NA,"English",NA,"When animals detect predators they modify their behavior to avoid predation. However, less is known about whether prey species modify their behavior in response to predator body and behavioral cues. Recent studies indicated that tufted titmice, a small songbird, decreased their foraging behavior and increased their calling rates when they detected a potential predator facing toward a feeder they were using, compared to a potential predator facing away from that feeder. Here, we tested whether related Carolina chickadees, Poecile carolinensis, were also sensitive not just to the presence of a predator model, but to its facial/head orientation. Although chickadees are closely related to titmice, recent studies in different populations suggest chickadees respond to risky contexts involving predators differently than titmice. We conducted two field studies near feeders the birds were exploiting. In Study One, a mask-wearing human observer stood near the feeder. In Study Two, a model of a domestic cat was positioned near the feeder. In both studies, the potential threatening stimulus either faced toward or faced away from the feeder. Chickadees avoided the feeder more in both studies when the potential predator was present, and showed strongest feeder avoidance when the potential predator faced toward the feeder. Chickadee calling behavior was also affected by the facial orientation of the potential predator in Study 1. These results suggest that, like titmice, chickadees exhibit predation-risk-sensitive foraging and calling behavior, in relation to facial and head orientation of potential threats. These small birds seem to attend to the likely visual space of potential predators. Sensitivity to predator cues like behavior and body posture must become more central to our theories and models of anti-predator behavioral systems."
498,"Basolateral amygdala neurons are activated during threat expectation","Amir, Alon; Kyriazi, Pinelopi; Lee, Seung-Chan; Headley, Drew B.; Pare, Denis","JOURNAL OF NEUROPHYSIOLOGY","0022-3077","121","5",NA,2019,NA,NA,NA,NA,NA,"English",NA,"Fear conditioning studies have led to the view that the amygdala contains neurons that signal threat and in turn elicit defensive behaviors through their brain stem and hypothalamic targets. In agreement with this model, a prior unit-recording study in rats performing a seminaturalistic foraging task revealed that many lateral amygdala (LA) neurons are predator responsive. In contrast, our previous study emphasized that most basolateral (BL) amygdala neurons are inhibited at proximity of the predator. However, the two studies used different methods to analyze unit activity, complicating comparisons between them. By applying the same method to the sample of BL neurons we recorded previously, the present study revealed that most principal cells are inhibited by the predator and only 4.5% are activated. Moreover, two-thirds of these cells were also activated by nonthreatening stimuli. In fact, fitting unit activity with a generalized linear model revealed that the only task variables associated with a prevalent positive modulation of BL activity were expectation of the predator's presence and whether the prior trial had been a failure or success. At odds with the threat-coding model of the amygdala, actual confrontation with the predator was usually associated with a widespread inhibition of principal BL neurons. NEW & NOTEWORTHY The basolateral amygdala (BL) is thought to contain neurons that signal threat, in turn eliciting defensive behaviors. In contrast, the present study reports that very few principal BL cells are responsive to threats and that most of them are also activated by nonthreatening stimuli. Yet, expectation of the threat's presence was associated with a prevalent positive modulation of BL activity; actual confrontation with the threat was associated with a widespread inhibition."
974,"Paradoxical escape responses by narwhals (Monodon monoceros)","Williams, Terrie M.; Blackwell, Susanna B.; Richter, Beau; Sinding, Mikkel-Holger S.; Heide-Jorgensen, Mads Peter","SCIENCE","0036-8075","358","6368",NA,2017,NA,NA,NA,NA,NA,"English",NA,"Until recent declines in Arctic sea ice levels, narwhals (Monodon monoceros) have lived in relative isolation from human perturbation and sustained predation pressures. The resulting naivety has made this cryptic, deep-diving cetacean highly susceptible to disturbance, although quantifiable effects have been lacking. We deployed a submersible, animal-borne electrocardiograph-accelerometer-depth recorder to monitor physiological and behavioral responses of East Greenland narwhals after release from net entanglement and stranding. Escaping narwhals displayed a paradoxical cardiovascular down-regulation (extreme bradycardia with heart rate <= 4 beats per minute) superimposed on exercise up-regulation (stroke frequency >25 strokes per minute and energetic costs three to six times the resting rate of energy expenditure) that rapidly depleted onboard oxygen stores. We attribute this unusual reaction to opposing cardiovascular signals-from diving, exercise, and neurocognitive fear responses-that challenge physiological homeostasis."
904,"SIGNS AT THE TOP: HABITAT FEATURES INFLUENCING SNOW LEOPARD UNCIA UNCIA ACTIVITY IN SAGARMATHA NATIONAL PARK, NEPAL","Wolf, Mosheh; Ale, Som","JOURNAL OF MAMMALOGY","0022-2372","90","3",NA,2009,NA,NA,NA,NA,NA,"English",NA,"We used logistic regression to examine factors that affected the spatial distribution of sign (scrapes, feces, footprints, spray or scent marks, and rubbing sites) in a newly reestablished population of snow leopards (Uncia uncia) in Sagarmatha (Mount Everest) National Park, Nepal. Our results indicate that terrain and human activity were the most important factors determining the spatial distribution of leopard activity, whereas presence of their major prey species (Himalayan tahr [Hemitragus jemlahicus]) had only a moderate effect. This suggests that localities at which these animals are active represent a trade-off between suitable habitat and avoidance of potential risk from anthropogenic origins. However, the influence of prey presence was likely underestimated because of the methodology used, and likely weighed in the trade-off as well."
105,"Prevalence of aggression and fear-related behavioral problems in a sample of Argentine Dogos in Italy","Diverio, Silvana; Tami, Gabriella; Barone, Antonino","JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH","1558-7878","3","2",NA,2008,NA,NA,NA,NA,NA,"English",NA,"The Argentine Dogo breed is identified frequently as potentially dangerous in worldwide legislation. To investigate the prevalence of problem behaviors in this breed, 94 Argentine Dogo owners provided information on aggressive and fearful behaviors shown by their dogs (83 males, 98 females) in a questionnaire. The results were consistent with the origin of the Argentine Dogo (i.e., descending from fighting dogs) and subsequent selection exerted to improve hunting qualities. Common aggressive behaviors included predation on small animals (92.0%), intra-specific conflicts (69.5%), and territoriality (i.e., vigilance of territory perimeter, 61.3%; aggression toward people visiting the dog's house, 45.3%; vigilance while inside the owners' car, 33.1%). Aggression directed to the owner was marginally represented. Reactions to leashing, bathing, punishment, sleep disturbance, to), removal, and in other conflict situations occurred in less than 10% of the sample. Reactions to food removal (13.3%) and handling (19.8%) showed higher prevalence. Chasing cars/running people (17.6%) and aggression toward strangers, either those who were friendly (19.1%) or those who seemed threatening on approach (29.4%), were noted. Low anxiety levels reported in social situations confirmed that these reactions were not common (e.g.. fear of strangers, children, and unfamiliar dogs <= 10%). Common anxious behaviors were fear of traffic (10.3%), loud noises (36.2%), startling stimuli (30.5%), destructiveness (42.9%), excessive body licking (13.6%), and shyness in novel situations (32.4%). The context and targets of aggression when exhibited by these dogs (e.g., aggression toward animals when outside the dogs' territory, aggression towards people when inside territory) suggest that the Italian law on potentially dangerous dog breeds may be ineffective in preventing Argentine Dogos' aggression to humans. Social hazards could be reduced by promoting proper social exposure and reactions toward people. (C) 2008 Elsevier Inc. All rights reserved."
570,"Large carnivore response to human road use suggests a landscape of coexistence","Kautz, Todd M.; Fowler, Nicholas L.; Petroelje, Tyler R.; Beyer, Dean E., Jr.; Svoboda, Nathan J.; Belant, Jerrold L.","GLOBAL ECOLOGY AND CONSERVATION","","30","",NA,2021,NA,NA,NA,NA,NA,"English",NA,"Coexistence between humans and large carnivores may depend on carnivore adaptations to use developed landscapes while reducing human encounters. Roads are a widespread form of human development that carnivores may perceive as efficient travel routes or centers of human activity and associated risk. We compared the spatio-temporal responses of carnivores to human road use with high-resolution tracking of a large carnivore guild including American black bears (Ursus americans), bobcats (Lynx rufus), coyotes (Canis latrans), and wolves (C. lupus) in Michigan, USA. All carnivores selected for roads when traveling at night but avoided roads during the day when human activity was greatest. Human activity explained 90% of temporal variation in road use across carnivore species, with a 3.2-3.7-fold increase in road use at times of low human activity which reduced carnivore activity overlap with humans by 27-42%. Similar but less pronounced activity changes occurred in areas up to 500 m from roads. Bears and wolves increased nocturnal activity with more roads in their home range, but not bobcats or coyotes. Despite increased diurnal activity in areas farther from roads, temporal overlap among carnivores was high regardless of mad proximity. Our results suggest that spatio-temporal responses to roads were similar among carnivores and emphasized avoidance of humans over other carnivore species. Further, we provide support that carnivores can be diurnally active while avoiding humans by using areas farther from roads. However, carnivores which are primarily diurnal (e.g., black bears) or have a strong proclivity for using roads (e.g., wolves) likely require greater behavioral changes to avoid humans. Behavioral adaptations allowing multiple species to use and cross roads while avoiding humans are encouraging for human-carnivore coexistence."
320,"Predation risk drives the expression of mobbing across bird species","Ribeiro da Cunha, Filipe Cristovao; Rodrigues Fontenelle, Julio Cesar; Griesser, Michael","BEHAVIORAL ECOLOGY","1045-2249","28","6",NA,2017,NA,NA,NA,NA,NA,"English",NA,"Many species approach predators to harass and drive them away, even though mobbing a predator can be deadly. However, not all species display this behavior, and those that do can exhibit different behaviors while mobbing different predators. Here we experimentally assessed the role of social and ecological traits on the expression of mobbing behavior in a bird community in SE Brazil (n = 157 species). We exposed birds to models of two morphologically similar diurnal owls that pose different risks, and assessed which species engaged in mobbing. Among those that mobbed, we evaluated how they adjusted their mobbing behavior depending on the predator type. We tested the hypothesis that only species that are at risk and can afford to mob engage in this antipredator behavior. We found that species that engaged in mobbing are in the body mass range of potential prey, forage in the understory or in the canopy, and form flocks. A species' social system did not influence its mobbing behavior. Furthermore, species that engaged in mobbing formed larger mobbing assemblages when facing a high-risk predator, but mobbed more intensely when facing a low-risk predator. Our findings support our predictions, namely that the expression of mobbing is limited by its costs."
317,"Predator identity and time of day interact to shape the risk-reward trade-off for herbivorous coral reef fishes","Catano, Laura B.; Barton, Mark B.; Boswell, Kevin M.; Burkepile, Deron E.","OECOLOGIA","0029-8549","183","3",NA,2017,NA,NA,NA,NA,NA,"English",NA,"Non-consumptive effects (NCEs) of predators occur as prey alters their habitat use and foraging decisions to avoid predation. Although NCEs are recognized as being important across disparate ecosystems, the factors influencing their strength and importance remain poorly understood. Ecological context, such as time of day, predator identity, and prey condition, may modify how prey species perceive and respond to risk, thereby altering NCEs. To investigate how predator identity affects foraging of herbivorous coral reef fishes, we simulated predation risk using fiberglass models of two predator species (grouper Mycteroperca bonaci and barracuda Sphyraena barracuda) with different hunting modes. We quantified how predation risk alters herbivory rates across space (distance from predator) and time (dawn, mid-day, and dusk) to examine how prey reconciles the conflicting demands of avoiding predation vs. foraging. When we averaged the effect of both predators across space and time, they suppressed herbivory similarly. Yet, they altered feeding differently depending on time of day and distance from the model. Although feeding increased strongly with increasing distance from the predators particularly during dawn, we found that the barracuda model suppressed herbivory more strongly than the grouper model during mid-day. We suggest that prey hunger level and differences in predator hunting modes could influence these patterns. Understanding how context mediates NCEs provides insight into the emergent effects of predator-prey interactions on food webs. These insights have broad implications for understanding how anthropogenic alterations to predator abundances can affect the spatial and temporal dynamics of important ecosystem processes."
586,"Behavioural adaptations of mussels to varying levels of food availability and predation risk","Robson, Anthony A.; De Leaniz, Carlos Garcia; Wilson, Rory P.; Halsey, Lewis G.","JOURNAL OF MOLLUSCAN STUDIES","0260-1230","76","",NA,2010,NA,NA,NA,NA,NA,"English",NA,"Blue mussels Mytilus edulis (n = 14) were studied in the laboratory using Hall sensor systems to record their gaping behaviour when exposed to varying food rations and levels of predation risk. Mussel response to increasing daily algal ration was to increase mean gape angle per day and was associated with copious pseudofaeces production at excessive initial algal concentrations, e.g. 250 cells/mu l. Mean gape angle decreased (backward S-shaped curve) when fed a fixed algal ration per day where simulated predation risk (introduced fresh mussel homogenate) increased in the water, presumably as an anti-predation strategy. However, this behaviour is presumed to lower feeding rates. There was a general positive relationship between both gape angle and the extent of valve movement (abduction/adduction) per event and valve movement speed. However, the fastest valve adduction events, which resulted in valve closure, were recorded independent of gape angle and only when mussels were first exposed to high perceived predation risk. We interpret this as an appropriate response, with high energetic cost, as a first line of defence from predators such as starfish and crabs. Overall, mussel response to predation appears graded and complex, indicating a trade-off between maximizing feeding/pseudofaeces production and minimizing predation risk."
667,"Temporal variation in habitat selection breaks the catch-22 of spatially contrasting predation risk from multiple predators","Lone, Karen; Mysterud, Atle; Gobakken, Terje; Odden, John; Linnell, John; Loe, Leif Egil","OIKOS","0030-1299","126","5",NA,2017,NA,NA,NA,NA,NA,"English",NA,"Predator avoidance depends on prey being able to discern how risk varies in space and time, but this is made considerably more complicated if risk is simultaneously present from multiple predators. This is the situation for an increasing number of mammalian prey species, as large carnivores recover or are reintroduced in ecosystems on several continents. Roe deer Capreolus capreolus in southern Norway illustrate a case in which prey face two predators with contrasting patterns of predation risk. They face a catch-22 situation: spatially avoiding the risk from one predator (lynx Lynx lynx in dense habitat) implies exposure to the other (hunters in open habitat). Using GPS-data from 29 roe deer, we tested for daily and seasonal variation in roe deer selection for habitat with respect to the habitats' year-round average risk level. Generally, roe deer altered their habitat selection between night and day in a pattern consistent with being able to avoid predicted risk from the nocturnal lynx during night and predicted risk from human hunters during day. However, seasonal variation in habitat selection only partially corresponded with the predicted seasonal variation in risk. Whereas roe deer avoided areas with high risk from hunters more strongly during the hunting season than in other seasons, there was a lack of selection towards areas and time periods lowering the risk of lynx predation during winter. It seems likely that the risk of starvation and thermal stress constrain roe deer habitat selection during this energetically challenging season with cold temperatures, snow cover and limited natural forage. The habitat selection pattern of roe deer fits thus only partly with the two contrasting risk gradients they face. Adjusting risk-avoidance behavior temporally can be an adaptive response in the case of several predators whose predation patterns differ in space and time."
104,"Age and sex differences in the innate defensive behaviors of C57BL/6 mice exhibited in a fear conditioning paradigm and upon exposure to a predatory odor","Arakawa, Hiroyuki","PHYSIOLOGY & BEHAVIOR","0031-9384","204","",NA,2019,NA,NA,NA,NA,NA,"English",NA,"Defensive responses of mice include an array of specific behaviors that involve adaptive components based on the assessment of the threat of confrontation. The freezing response is represented by a motionless moment without any specific posture or behavioral sequence, and it is widely used in the fear conditioning paradigms and other relevant defensive situations. However, freezing measurements include fragmental components of several defensive behaviors that are exhibited during the session, such as behavioral inhibition, crouching, and a moment of risk assessment behavior. From an ethological view, behavioral analyses of C57BL/6 mice of both sexes and three different ages (postnatal days (P) 25, 35, and 65) revealed a rich variety of defensive behaviors during a fear conditioning session and in response to predatory odor exposure as a nonconditioned behavior. P-25 and 35 mice exhibited more behavioral inhibition than P-65 adult mice, and P-65 mice exhibited a crouching posture more often than younger mice. This age difference was more pronounced in males. The stretch-attend posture (SAP) increased with age, except in P-25 males, which exhibited robust SAP in response to a conditioned cue; this response indicates that P-25 males are defensive in a situation-nonmatching manner. Situation-dependent defense strategies were revealed in P-35 and 65 mice: Fear conditioning paradigm induced more robust defensive responses than predatory odor exposure, to which mice primarily exhibited SAP. A sex-based difference was revealed in adult mice. Males tended to show more passive defensive responses, such as crouching and withdrawal, and females exhibited more active responses, such as SAP. These age- and sex-based differences may stem from the ethological demands and illustrate adolescent ontogenetic processes of defense behavior."
602,"Stay home, stay safe-Site familiarity reduces predation risk in a large herbivore in two contrasting study sites","Gehr, Benedikt; Bonnot, Nadege C.; Heurich, Marco; Cagnacci, Francesca; Ciuti, Simone; Hewison, A. J. Mark; Gaillard, Jean-Michel; Ranc, Nathan; Premier, Joseph; Vogt, Kristina; Hofer, Elizabeth; Ryser, Andreas; Vimercati, Eric; Keller, Lukas F.","JOURNAL OF ANIMAL ECOLOGY","0021-8790","89","6",NA,2020,NA,NA,NA,NA,NA,"English",NA,"Restricting movements to familiar areas should increase individual fitness as it provides animals with information about the spatial distribution of resources and predation risk. While the benefits of familiarity for locating resources have been reported previously, the potential value of familiarity for predation avoidance has been accorded less attention. It has been suggested that familiarity should be beneficial for anti-predator behaviour when direct cues of predation risk are unclear and do not allow prey to identify well-defined spatial refuges. However, to our knowledge, this hypothesis has yet to be tested. Here, we assessed how site familiarity, measured as the intensity of use of a given location, is associated with the probability of roe deer Capreolus capreolus being killed by two predators with contrasting hunting tactics, the Eurasian lynx Lynx lynx and human hunters. While risk of human hunting was confined to open habitats, risk of lynx predation was more diffuse, with no clear refuge areas. We estimated cause-specific mortality rates in a competing risk framework for 212 GPS-collared roe deer in two ecologically distinct areas of Central Europe to test the hypothesis that the daily risk of being killed by lynx or hunters should be lower in areas of high familiarity. We found strong evidence that site familiarity reduces the risk of being predated by lynx, whereas the evidence that the risk of being hunted is linked to site familiarity was weak. We suggest that local knowledge about small-scale differences in predation risk and information about efficient escape routes affect an individual's ability to avoid or escape an attack by an ambush predator. Our study emphasizes the role of site familiarity in determining the susceptibility of prey to predation. Further research will be required to understand better how a cognitive map of individual spatial information is beneficial for avoiding predation in the arms race that drives the predator-prey shell game."
697,"Risk perception of nesting Great Blue Herons: experimental evidence of habituation","Vennesland, Ross G.","CANADIAN JOURNAL OF ZOOLOGY","0008-4301","88","1",NA,2010,NA,NA,NA,NA,NA,"English",NA,"The nesting behaviour of the Great Blue Heron (Ardea herodias L., 1758) was studied in western Canada in 1998 and 1999 to (i) investigate how individual parents assess risk when repeatedly exposed to a disturbance stimulus (an investigator) and (ii) experimentally test in the field whether any variation in their nest defense behaviour was due to experience with the disturbance stimuli or the stage of the nesting period. Heron response declined through the nesting period and the level of response varied among colonies, suggesting different perceptions of risk among groups of herons in the study. It was experimentally shown that variation in the response of herons through one nesting period was due to both behavioural habituation and the stage of the nesting period. Response was stronger in 1999 than in 1998, indicating that habituation did not hold between nesting periods. In general, habituation in herons may bode well for their potential to persist in areas with tight human use. But irrespective of habituation, stimuli early in the nesting period and large or novel events may still cause herons to abandon their nests owing to the effects of the stage of the nesting period."
786,"The enemy of my enemy: multiple interacting selection pressures lead to unexpected anti-predator responses","Sharma, Manvi; Quader, Suhel; Guttal, Vishwesha; Isvaran, Kavita","OECOLOGIA","0029-8549","192","1",NA,2020,NA,NA,NA,NA,NA,"English",NA,"Despite being a major selective force, predation can induce puzzling variability in anti-predator responses-from lack of predator aversion to lifelong predator-induced fear. This variability is hypothesised to result from variation in the trade-offs associated with avoiding predators. But critical information on fitness outcomes of these trade-offs associated with anti-predator behaviours is lacking. We tested this trade-off hypothesis in Aedes aegypti, by examining oviposition site selection decisions in response towards larval predation risk and comprehensively measuring the fitness implications of trade-offs of avoiding larval predators, using three fitness measures: larval survival, development time and size. In a field study, we find that adult females show a surprisingly variable response to predators, ranging from attraction to avoidance. This variation is explained by fitness outcomes of oviposition along a predation-risk gradient that we measured in the laboratory. We show that ovipositing females could gain fitness benefits from ovipositing in pools with a low density of predators, rather than in predator-free pools, as predators provide a release from negative density effects of conspecific larvae that might co-occur in a pool. Interacting selection pressures may thus explain diverse prey responses. We suggest other systems in which similarly unexpected prey behaviour is likely to occur."
683,"Elephants classify human ethnic groups by odor and garment color","Bates, Lucy A.; Sayialel, Katito N.; Njiraini, Norah W.; Moss, Cynthia J.; Poole, Joyce H.; Byrne, Richard W.","CURRENT BIOLOGY","0960-9822","17","22",NA,2007,NA,NA,NA,NA,NA,"English",NA,"Animals can benefit from classifying predators or other dangers into categories, tailoring their escape strategies to the type and nature of the risk. Studies of alarm vocalizations have revealed various levels of sophistication in classification [1-5]. In many taxa, reactions to danger are inflexible, but some species can learn the level of threat presented by the local population of a predator [6-8] or by specific, recognizable individuals [9, 10]. Some species distinguish several species of predator, giving differentiated warning calls and escape reactions; here, we explore an animal's classification of subgroups within a species. We show that elephants distinguish at least two Kenyan ethnic groups and can identify them by olfactory and color cues independently. In the Ambosell ecosystem, Kenya, young Maasai men demonstrate virility by spearing elephants (Loxodonta africana), but Kamba agriculturalists pose little threat. Elephants showed greater fear when they detected the scent of garments previously worn by Maasai than by Kamba men, and they reacted aggressively to the color associated with Maasai. Elephants are therefore able to classify members of a single species into subgroups that pose different degrees of danger."
