"","Authors","Article.Title","Source.Title","Language","Document.Type","Keywords.Plus","Abstract","Publication.Year","DOI","Date.of.Export"
"11","BOUISSOU, MF; VANDENHEEDE, M","FEAR REACTIONS OF DOMESTIC SHEEP CONFRONTED WITH EITHER A HUMAN OR A HUMAN-LIKE MODEL","BEHAVIOURAL PROCESSES","English","Article","DAIRY-COWS; BEHAVIOR; MILKING; PIGS","Fear reactions of ewes towards a human, a human-like model or a control (plastic cylinder 1.95 m high) were studied using a test previously designed and validated, in which 16 behavioural parameters have been interpreted as indicators of fear (e.g. a relatively long time spent away from the stimulus) or absence of fear (e.g. a relatively long time spent eating near the stimulus). In a first experiment, 18 animals were individually confronted with each of the 3 stimuli for 4 min (in a counter-balanced order). The results indicated that both the human and the human-like model elicited greater fear reactions than did the control, and that the former two stimuli did not differ in their fear-eliciting properties. In a second experiment designed to determine if the animals become aware of a difference between the human and the model over time, 32 animals were confronted successively with each of the two stimuli for 8 min. Although there was some habituation towards both stimuli, there was no difference between them even at the end of the test period. These results suggest that a model Could be appropriate in experiments involving human presence (at least for a short duration) and would allow for better standardization. It can also be hypothetized that exposing animals to a model would lead to familiarization which might in turn help reduce fear of human beings and thus improve ease of handling and welfare.",1995,"10.1016/0376-6357(94)00056-M","2022-03-23"
"12","Suraci, JP; Clinchy, M; Zanette, LY; Wilmers, CC","Fear of humans as apex predators has landscape-scale impacts from mountain lions to mice","ECOLOGY LETTERS","English","Article","LARGE CARNIVORES; BEHAVIORAL-RESPONSES; HUMAN DISTURBANCE; PREY RESPONSES; RISK; WILDLIFE; CONSEQUENCES; COEXISTENCE; PATTERNS; OVERLAP","Apex predators such as large carnivores can have cascading, landscape-scale impacts across wildlife communities, which could result largely from the fear they inspire, although this has yet to be experimentally demonstrated. Humans have supplanted large carnivores as apex predators in many systems, and similarly pervasive impacts may now result from fear of the human 'super predator'. We conducted a landscape-scale playback experiment demonstrating that the sound of humans speaking generates a landscape of fear with pervasive effects across wildlife communities. Large carnivores avoided human voices and moved more cautiously when hearing humans, while medium-sized carnivores became more elusive and reduced foraging. Small mammals evidently benefited, increasing habitat use and foraging. Thus, just the sound of a predator can have landscape-scale effects at multiple trophic levels. Our results indicate that many of the globally observed impacts on wildlife attributed to anthropogenic activity may be explained by fear of humans.",2019,"10.1111/ele.13344","2022-03-23"
"13","Milad, MR; Rauch, SL; Pitman, RK; Quirk, GJ","Fear extinction in rats: Implications for human brain imaging and anxiety disorders","BIOLOGICAL PSYCHOLOGY","English","Review","POSTTRAUMATIC-STRESS-DISORDER; MEDIAL PREFRONTAL CORTEX; POSITRON-EMISSION-TOMOGRAPHY; CHILDHOOD SEXUAL-ABUSE; LONG-TERM POTENTIATION; SCRIPT-DRIVEN IMAGERY; TRANSCRANIAL MAGNETIC STIMULATION; CEREBRAL-BLOOD-FLOW; EVENT-RELATED FMRI; CONDITIONED FEAR","Fear extinction is the decrease in conditioned fear responses that normally occurs when a conditioned stimulus (CS) is repeatedly presented in the absence of the aversive unconditioned stimulus (US). Extinction does not erase the initial CS-US association, but is thought to form a new memory. After extinction training, extinction memory competes with conditioning memory for control of fear expression. Deficits in fear extinction are thought to contribute to post-traumatic stress disorder (PTSD). Herein, we review studies performed in rats showing that the medial prefrontal cortex plays a critical role in the retention and expression of extinction memory. We also review human studies indicating that prefrontal areas homologous to those critical for extinction in rats are structurally and functionally deficient in patients with PTSD. We then discuss how findings from rat studies may allow us to: (1) develop new fear extinction paradigms in humans, (2) make specific predictions as to the location of extinction-related areas in humans, and (3) improve current extinction-based behavioral therapies for anxiety disorders. (c) 2006 Elsevier B.V. All rights reserved.",2006,"10.1016/j.biopsycho.2006.01.008","2022-03-23"
"14","Jovanovic, T; Keyes, M; Fiallos, A; Myers, KM; Davis, M; Duncan, EJ","Fear potentiation and fear inhibition in a human fear-potentiated startle paradigm","BIOLOGICAL PSYCHIATRY","English","Article","CONDITIONED INHIBITION; DISCRIMINATION; EXTINCTION; EXPLICIT; ANXIETY","Background: The inability to suppress excessive fear or anxiety is a significant clinical problem. In the laboratory, extinction is a preferred method for the study of fear inhibition: however, in this paradigm the same stimulus causes both elicitation (excitation) and inhibition of fear, making it difficult to know whether an experimental manipulation that affects extinction does so by affecting one or both of these processes. For this reason, we sought to develop a behavioral procedure in humans that would render a stimulus primarily inhibitory. Methods: We adapted a conditional discrimination procedure (AX+/BX-), previously validated in animals, to a human fear-potentiated startle paradigm. Forty-one healthy volunteers were presented with one set of colored lights paired with the delivery of aversive airblasts to the throat (AX+) and a different series of light,,; Presented without airblasts (BX-). Results. Participants exhibited fear potentiation to AX+, discrimination between AX+ and BX-, and transfer of fear inhibition to A in an AB compound test but not in an AC compound test. Conclusions: We believe this procedure will advance Clinical research on fear disorders, such as posttraumatic stress disorder and phobias, by providing an effective and relatively independent measure of fear potentiation and fear inhibition.",2005,"10.1016/j.biopsych.2005.02.025","2022-03-23"
"15","Hartley, CA; Gorun, A; Reddan, MC; Ramirez, F; Phelps, EA","Stressor controllability modulates fear extinction in humans","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Article","DORSAL RAPHE NUCLEUS; MEDIAL PREFRONTAL CORTEX; BEHAVIORAL-CONTROL; LEARNED HELPLESSNESS; BASOLATERAL AMYGDALA; ANXIETY DISORDERS; INESCAPABLE SHOCK; CONDITIONED FEAR; ANIMAL-MODEL; ESCAPE","Traumatic events are proposed to play a role in the development of anxiety disorders, however not all individuals exposed to extreme stress experience a pathological increase in fear. Recent studies in animal models suggest that the degree to which one is able to control an aversive experience is a critical factor determining its behavioral consequences. In this study, we examined whether stressor controllability modulates subsequent conditioned fear expression in humans. Participants were randomly assigned to an escapable stressor condition, a yoked inescapable stressor condition, or a control condition involving no stress exposure. One week later, all participants underwent fear conditioning, fear extinction, and a test of extinction retrieval the following day. Participants exposed to inescapable stress showed impaired fear extinction learning and increased fear expression the following day. In contrast, escapable stress improved fear extinction and prevented the spontaneous recovery of fear. Consistent with the bidirectional controllability effects previously reported in animal models, these results suggest that one's degree of control over aversive experiences may be an important factor influencing the development of psychological resilience or vulnerability in humans. (C) 2013 Elsevier Inc. All rights reserved.",2014,"10.1016/j.nlm.2013.12.003","2022-03-23"
"16","ADOLPHS, R; TRANEL, D; DAMASIO, H; DAMASIO, AR","FEAR AND THE HUMAN AMYGDALA","JOURNAL OF NEUROSCIENCE","English","Article","FACIAL EXPRESSIONS; BILATERAL AMYGDALOTOMY; CONDITIONED FEAR; MENTAL-IMAGERY; VISUAL-CORTEX; MONKEY; FACES; RECOGNITION; EMOTION; RESPONSES","We have previously reported that bilateral amygdala damage in humans compromises the recognition of fear in facial expressions while leaving intact recognition of face identity (Adolphs et al., 1994). The present study aims at examining questions motivated by this finding. We addressed the possibility that unilateral amygdala damage might be sufficient to impair recognition of emotional expressions. We also obtained further data on our subject with bilateral amygdala damage, in order to elucidate possible mechanisms that could account for the impaired recognition of expressions of fear. The results show that bilateral, but not unilateral, damage to the human amygdala impairs the processing of fearful facial expressions. This impairment appears to result from an insensitivity to the intensity of fear expressed by faces. We also confirmed a double dissociation between the recognition of facial expressions of fear, and the recognition of identity of a face: these two processes can be impaired independently, lending support to the idea that they are subserved in part by anatomically separate neural systems. Based on our data, and on what is known about the amygdala's connectivity, we propose that the amygdala is required to link visual representations of facial expressions, on the one hand, with representations that constitute the concept of fear, on the other. Preliminary data suggest the amygdala's role extends to both recognition and recall of fearful facial expressions.",1995,"","2022-03-23"
"17","Battaglia, S","Neurobiological advances of learned fear in humans","ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE","English","Editorial Material; Early Access","VENTROMEDIAL PREFRONTAL CORTEX; INDIVIDUAL-DIFFERENCES; EXTINCTION; ANXIETY; MEMORY; HIPPOCAMPUS; RECALL; STIMULATION; ACQUISITION; CIRCUITS","In the whole animal kingdom, fear learning is an essential process that allows living beings to survive. Therefore, revealing the neurophysiological processes that govern the expression of emotional fear memory and exploring its neurobiological underpinnings are the imperatives of affective neuroscience. Learned fear memories activate defensive behaviors in anticipation of harm, thus minimizing the impact of the threat. However, despite a century of research, the neural circuitry underlying fear learning in humans is still a matter of debate. This editorial will discuss recent evidence of the neural and behavioral correlates of fear learning in humans, with an emphasis on the role of the human prefrontal cortex (PFC).",NA,"10.17219/acem/146756","2022-03-23"
"18","Hermans, D; Craske, MG; Mineka, S; Lovibond, PF","Extinction in human fear conditioning","BIOLOGICAL PSYCHIATRY","English","Article; Proceedings Paper","SPIDER PHOBIA; PAVLOVIAN DISCRIMINATION; EXPOSURE THERAPY; STIMULUS VALENCE; PANIC DISORDER; CONTEXT; RETURN; REINSTATEMENT; BEHAVIOR; ATTENTION","Although most extinction research is conducted in animal laboratories, the study of extinction learning in human fear conditioning has gained increasing attention over the last decade. The most important findings from human fear extinction are reviewed in this article. Specifically, we review experimental investigations of the impact of conditioned inhibitors, conditioned exciters, context renewal, and reinstatement on fear extinction in human samples. We discuss data from laboratory studies of the extinction Of aversively conditioned stimuli, as well as results from experimental clinical work with fearful or anxious individuals. We present directions for future research, in particular the need for further investigation of differences between animal and human conditioning outcomes, and research examining the role of both automatic and higher-order cognitive processes in human conditioning and extinction.",2006,"10.1016/j.biopsych.2005.10.006","2022-03-23"
"19","Cromsigt, JPGM; Kuijper, DPJ; Adam, M; Beschta, RL; Churski, M; Eycott, A; Kerley, GIH; Mysterud, A; Schmidt, K; West, K","Hunting for fear: innovating management of human-wildlife conflicts","JOURNAL OF APPLIED ECOLOGY","English","Letter","ANTIPREDATOR RESPONSE; PREDATION; RISK; DEER; ELK; LANDSCAPE; SELECTION; WOLVES; ECOLOGY; MAMMALS","There is a growing theoretical basis for the role of predation risk as a driver of trophic interactions, conceptualized as the ecology of fear'. However, current ungulate management ignores the role of nonlethal risk effects of predation. We introduce the concept of hunting for fear' as an extension of the more classical hunting to kill' that is typically used in large herbivore management. Hunting for fear aims to induce a behavioural response in ungulates, for example, as a way of diverting them from areas where their impact is undesired. Synthesis and applications. Hunting for fear asks for novel, potentially controversial, ways of hunting to induce strong enough risk effects, including more hunting on foot and with dogs, extended hunting seasons (ideally year-round) and increased hunting of calves. Hunting for fear may offer novel opportunities to help manage the growing humanwildlife conflicts that we experience globally.",2013,"10.1111/1365-2664.12076","2022-03-23"
"20","Soeter, M; Kindt, M","Noradrenergic enhancement of associative fear memory in humans","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Article","POSTTRAUMATIC-STRESS-DISORDER; POTENTIATED STARTLE; CONSOLIDATION; EXTINCTION; AMYGDALA; SYSTEMS; AWARENESS; RESPONSES; PROPRANOLOL; ACQUISITION","Ample evidence in animals and humans supports the noradrenergic modulation in the formation of emotional memory. However, in humans the effects of stress on emotional memory are traditionally investigated by declarative memory tests (e.g., recall, recognition) for non-associative emotional stimuli (e.g., stories, pictures). Given that anxiety disorders are thought to originate from associative learning processes and are characterized by distressing emotional responses, the existing literature seems to be inconclusive for the understanding of these disorders. Here, we tested whether noradrenaline strengthens the emotional expression of associative fear memory by using a differential fear conditioning procedure in humans. Stimulation of the noradrenergic system by the administration of yohimbine HCl (20 mg) during memory formation did not directly augment the differential startle fear response 48 h later. Yet, the other retention tests uncovered that the administration of yohimbine HCl contrary to placebo pill extensively delayed the process of extinction learning and generated a superior recovery of fear (i.e., reinstatement and reacquisition). Conversely, the yohimbine HCl manipulation did not affect the skin conductance responding and the US expectancy ratings, emphasizing the concept of multiple memory systems. To our knowledge this is the first demonstration in humans that increased noradrenaline release during or shortly after a stressful event strengthens the formation of associative fear memory traces. The present findings suggest that noradrenaline may play an important role in the etiology and maintenance of anxiety disorders. (C) 2011 Elsevier Inc. All rights reserved.",2011,"10.1016/j.nlm.2011.05.003","2022-03-23"
"21","Johansson, M; Ferreira, IA; Stoen, OG; Frank, J; Flykt, A","Targeting human fear of large carnivores - Many ideas but few known effects","BIOLOGICAL CONSERVATION","English","Review","PUBLIC PERCEPTIONS; ATTITUDES; BEAR; WILDLIFE; CONSERVATION; MANAGEMENT; WOLF; CONFLICT; EDUCATION; SUPPORT","This paper reviews the peer-reviewed scientific literature on interventions aimed to reduce human fear of large carnivores in human-large carnivore conflicts. Based on psychological theories, a wide definition of fear was adopted, including fear as an emotion, as a perception and as an attitude. Four major categories of interventions were identified: information and education, exposure to animal and habitat, collaboration and participation, and financial incentives. Each of these categories may have a potential to reduce fear responses. The scientific literature on the effect of interventions addressing human fear of large carnivores is scarce and partly contradictory, which makes it difficult for wildlife managers to rely on current research when designing appropriate interventions. (C) 2016 Elsevier Ltd. All rights reserved.",2016,"10.1016/j.biocon.2016.07.010","2022-03-23"
